err,val_err
"tf.Tensor(0.0007571493701327321, shape=(), dtype=float64)","tf.Tensor(0.004100381897133705, shape=(), dtype=float64)"
"tf.Tensor(0.0007599312789857931, shape=(), dtype=float64)","tf.Tensor(0.003493270614217741, shape=(), dtype=float64)"
"tf.Tensor(0.0007577536150520491, shape=(), dtype=float64)","tf.Tensor(0.0037580462673809743, shape=(), dtype=float64)"
"tf.Tensor(0.0007578517833301887, shape=(), dtype=float64)","tf.Tensor(0.003508755362171501, shape=(), dtype=float64)"
"tf.Tensor(0.0007581342966276105, shape=(), dtype=float64)","tf.Tensor(0.003884034545686509, shape=(), dtype=float64)"
"tf.Tensor(0.0007566972529631355, shape=(), dtype=float64)","tf.Tensor(0.003753490763107494, shape=(), dtype=float64)"
"tf.Tensor(0.0007576098796532785, shape=(), dtype=float64)","tf.Tensor(0.003668191622133732, shape=(), dtype=float64)"
"tf.Tensor(0.000757881919341542, shape=(), dtype=float64)","tf.Tensor(0.004543328497339534, shape=(), dtype=float64)"
"tf.Tensor(0.0007585972983406156, shape=(), dtype=float64)","tf.Tensor(0.0037126508076839267, shape=(), dtype=float64)"
"tf.Tensor(0.0007595352358843446, shape=(), dtype=float64)","tf.Tensor(0.004426998736091689, shape=(), dtype=float64)"
"tf.Tensor(0.0007584779716931575, shape=(), dtype=float64)","tf.Tensor(0.003792377335577365, shape=(), dtype=float64)"
"tf.Tensor(0.0007567161535211845, shape=(), dtype=float64)","tf.Tensor(0.004154280117509631, shape=(), dtype=float64)"
"tf.Tensor(0.0007564886695009576, shape=(), dtype=float64)","tf.Tensor(0.004782438536289309, shape=(), dtype=float64)"
"tf.Tensor(0.0007571751804469924, shape=(), dtype=float64)","tf.Tensor(0.004150878427316073, shape=(), dtype=float64)"
"tf.Tensor(0.000757426964442055, shape=(), dtype=float64)","tf.Tensor(0.004623739208584222, shape=(), dtype=float64)"
"tf.Tensor(0.0007578292684009702, shape=(), dtype=float64)","tf.Tensor(0.004165355234667732, shape=(), dtype=float64)"
"tf.Tensor(0.0007586231805583826, shape=(), dtype=float64)","tf.Tensor(0.004562001869953807, shape=(), dtype=float64)"
