err,val_err
"tf.Tensor(0.0001900963943696992, shape=(), dtype=float64)","tf.Tensor(0.030520395395913415, shape=(), dtype=float64)"
"tf.Tensor(0.0002140223334175295, shape=(), dtype=float64)","tf.Tensor(0.03252491466667264, shape=(), dtype=float64)"
"tf.Tensor(0.00019250205232779983, shape=(), dtype=float64)","tf.Tensor(0.031663620159145374, shape=(), dtype=float64)"
"tf.Tensor(0.00019425494681505825, shape=(), dtype=float64)","tf.Tensor(0.032433489165915624, shape=(), dtype=float64)"
"tf.Tensor(0.0002123428989282508, shape=(), dtype=float64)","tf.Tensor(0.03292401271234573, shape=(), dtype=float64)"
"tf.Tensor(0.0001972989898631349, shape=(), dtype=float64)","tf.Tensor(0.03225768668631996, shape=(), dtype=float64)"
"tf.Tensor(0.00022400872812140484, shape=(), dtype=float64)","tf.Tensor(0.032937906041883326, shape=(), dtype=float64)"
"tf.Tensor(0.00019465118764374378, shape=(), dtype=float64)","tf.Tensor(0.03292401271234573, shape=(), dtype=float64)"
"tf.Tensor(0.0002366161819178998, shape=(), dtype=float64)","tf.Tensor(0.030010915196809995, shape=(), dtype=float64)"
"tf.Tensor(0.00020698080127183794, shape=(), dtype=float64)","tf.Tensor(0.03292401271234573, shape=(), dtype=float64)"
"tf.Tensor(0.00019396595490023448, shape=(), dtype=float64)","tf.Tensor(0.031261143300645354, shape=(), dtype=float64)"
"tf.Tensor(0.00020297938374346574, shape=(), dtype=float64)","tf.Tensor(0.03211921794376295, shape=(), dtype=float64)"
"tf.Tensor(0.0002117679675505251, shape=(), dtype=float64)","tf.Tensor(0.03165779559461979, shape=(), dtype=float64)"
"tf.Tensor(0.00020914394277132782, shape=(), dtype=float64)","tf.Tensor(0.03184001376714607, shape=(), dtype=float64)"
"tf.Tensor(0.0002373152978928264, shape=(), dtype=float64)","tf.Tensor(0.03092632562752408, shape=(), dtype=float64)"
"tf.Tensor(0.00022271408851189686, shape=(), dtype=float64)","tf.Tensor(0.030721037760685386, shape=(), dtype=float64)"
"tf.Tensor(0.0001923369843626047, shape=(), dtype=float64)","tf.Tensor(0.031742079298773866, shape=(), dtype=float64)"
"tf.Tensor(0.00018532060874975896, shape=(), dtype=float64)","tf.Tensor(0.03223892107470836, shape=(), dtype=float64)"
"tf.Tensor(0.00020997993773324403, shape=(), dtype=float64)","tf.Tensor(0.02926787093210212, shape=(), dtype=float64)"
"tf.Tensor(0.0001878362430909545, shape=(), dtype=float64)","tf.Tensor(0.03197693437823835, shape=(), dtype=float64)"
"tf.Tensor(0.00018900240531658812, shape=(), dtype=float64)","tf.Tensor(0.03218538603954772, shape=(), dtype=float64)"
"tf.Tensor(0.00017774629263081243, shape=(), dtype=float64)","tf.Tensor(0.030804744525265167, shape=(), dtype=float64)"
"tf.Tensor(0.00020084909809775237, shape=(), dtype=float64)","tf.Tensor(0.029460160720283214, shape=(), dtype=float64)"
"tf.Tensor(0.0001957183544434209, shape=(), dtype=float64)","tf.Tensor(0.030871557238722286, shape=(), dtype=float64)"
"tf.Tensor(0.00021287479943655376, shape=(), dtype=float64)","tf.Tensor(0.0330720746341373, shape=(), dtype=float64)"
"tf.Tensor(0.0001991508403317491, shape=(), dtype=float64)","tf.Tensor(0.03010920893167749, shape=(), dtype=float64)"
"tf.Tensor(0.00020275491877665052, shape=(), dtype=float64)","tf.Tensor(0.029358424377278022, shape=(), dtype=float64)"
"tf.Tensor(0.0002112917982476368, shape=(), dtype=float64)","tf.Tensor(0.03074810461895588, shape=(), dtype=float64)"
"tf.Tensor(0.00019484461890987597, shape=(), dtype=float64)","tf.Tensor(0.03233304701292406, shape=(), dtype=float64)"
"tf.Tensor(0.00020205928506069395, shape=(), dtype=float64)","tf.Tensor(0.02913981830274129, shape=(), dtype=float64)"
"tf.Tensor(0.00023280900479699882, shape=(), dtype=float64)","tf.Tensor(0.03292401271234573, shape=(), dtype=float64)"
"tf.Tensor(0.00021596762391621114, shape=(), dtype=float64)","tf.Tensor(0.029813898803086863, shape=(), dtype=float64)"
"tf.Tensor(0.0002012246205229883, shape=(), dtype=float64)","tf.Tensor(0.03065274038348518, shape=(), dtype=float64)"
"tf.Tensor(0.0002212648914536604, shape=(), dtype=float64)","tf.Tensor(0.03122244747282313, shape=(), dtype=float64)"
"tf.Tensor(0.00018534944678828176, shape=(), dtype=float64)","tf.Tensor(0.03204688937113861, shape=(), dtype=float64)"
"tf.Tensor(0.00019246149988653803, shape=(), dtype=float64)","tf.Tensor(0.033499418901243964, shape=(), dtype=float64)"
"tf.Tensor(0.00020863629307357878, shape=(), dtype=float64)","tf.Tensor(0.03046396674991788, shape=(), dtype=float64)"
"tf.Tensor(0.0002054815653804687, shape=(), dtype=float64)","tf.Tensor(0.031212770021353486, shape=(), dtype=float64)"
"tf.Tensor(0.00019140811574431326, shape=(), dtype=float64)","tf.Tensor(0.02941467296676988, shape=(), dtype=float64)"
"tf.Tensor(0.000196083898828866, shape=(), dtype=float64)","tf.Tensor(0.02843207163205793, shape=(), dtype=float64)"
"tf.Tensor(0.00021553431837663547, shape=(), dtype=float64)","tf.Tensor(0.03229948397421461, shape=(), dtype=float64)"
"tf.Tensor(0.0002122683503937092, shape=(), dtype=float64)","tf.Tensor(0.03217979366924613, shape=(), dtype=float64)"
"tf.Tensor(0.0002022128824624983, shape=(), dtype=float64)","tf.Tensor(0.027245166697302158, shape=(), dtype=float64)"
"tf.Tensor(0.00020503121690210305, shape=(), dtype=float64)","tf.Tensor(0.02945562750245257, shape=(), dtype=float64)"
"tf.Tensor(0.00022891245302984506, shape=(), dtype=float64)","tf.Tensor(0.03121879048595877, shape=(), dtype=float64)"
"tf.Tensor(0.00018814782145247622, shape=(), dtype=float64)","tf.Tensor(0.03228163571293198, shape=(), dtype=float64)"
"tf.Tensor(0.00021890135746399473, shape=(), dtype=float64)","tf.Tensor(0.03078982351651684, shape=(), dtype=float64)"
"tf.Tensor(0.0002044999894383033, shape=(), dtype=float64)","tf.Tensor(0.030184879123976154, shape=(), dtype=float64)"
"tf.Tensor(0.00022052929985040757, shape=(), dtype=float64)","tf.Tensor(0.03190567420961485, shape=(), dtype=float64)"
"tf.Tensor(0.00018949460234968279, shape=(), dtype=float64)","tf.Tensor(0.03187484441199521, shape=(), dtype=float64)"
"tf.Tensor(0.00022364169762819264, shape=(), dtype=float64)","tf.Tensor(0.03113612375829333, shape=(), dtype=float64)"
"tf.Tensor(0.00020289881099569887, shape=(), dtype=float64)","tf.Tensor(0.03066309515695421, shape=(), dtype=float64)"
"tf.Tensor(0.00020314453664743061, shape=(), dtype=float64)","tf.Tensor(0.03087341533008688, shape=(), dtype=float64)"
"tf.Tensor(0.00019816796569388772, shape=(), dtype=float64)","tf.Tensor(0.031333004469950715, shape=(), dtype=float64)"
"tf.Tensor(0.00019475379256898075, shape=(), dtype=float64)","tf.Tensor(0.03212525855424856, shape=(), dtype=float64)"
"tf.Tensor(0.00021537233725144245, shape=(), dtype=float64)","tf.Tensor(0.034095689187924216, shape=(), dtype=float64)"
"tf.Tensor(0.0002183775906965243, shape=(), dtype=float64)","tf.Tensor(0.028840063937955282, shape=(), dtype=float64)"
"tf.Tensor(0.00019926840126028626, shape=(), dtype=float64)","tf.Tensor(0.03296382184037635, shape=(), dtype=float64)"
"tf.Tensor(0.00020052133500339026, shape=(), dtype=float64)","tf.Tensor(0.03084017812434556, shape=(), dtype=float64)"
"tf.Tensor(0.00020359155279703727, shape=(), dtype=float64)","tf.Tensor(0.033651161147640385, shape=(), dtype=float64)"
"tf.Tensor(0.00019163387296502023, shape=(), dtype=float64)","tf.Tensor(0.03368337873993045, shape=(), dtype=float64)"
"tf.Tensor(0.00022095590766465774, shape=(), dtype=float64)","tf.Tensor(0.03298846610534808, shape=(), dtype=float64)"
"tf.Tensor(0.0002537023331304079, shape=(), dtype=float64)","tf.Tensor(0.03079854902354008, shape=(), dtype=float64)"
"tf.Tensor(0.0001804655946947611, shape=(), dtype=float64)","tf.Tensor(0.029895260969190766, shape=(), dtype=float64)"
"tf.Tensor(0.0002078587714771122, shape=(), dtype=float64)","tf.Tensor(0.03318595023480711, shape=(), dtype=float64)"
"tf.Tensor(0.0002352608254032025, shape=(), dtype=float64)","tf.Tensor(0.03136804419543283, shape=(), dtype=float64)"
"tf.Tensor(0.00020217796872658425, shape=(), dtype=float64)","tf.Tensor(0.03274885160748137, shape=(), dtype=float64)"
"tf.Tensor(0.00020815861458461552, shape=(), dtype=float64)","tf.Tensor(0.029638768031838993, shape=(), dtype=float64)"
"tf.Tensor(0.00020868190457883385, shape=(), dtype=float64)","tf.Tensor(0.032919168083463735, shape=(), dtype=float64)"
"tf.Tensor(0.0002073754882570362, shape=(), dtype=float64)","tf.Tensor(0.031703697782372996, shape=(), dtype=float64)"
"tf.Tensor(0.00019491182221995028, shape=(), dtype=float64)","tf.Tensor(0.032444709104982664, shape=(), dtype=float64)"
"tf.Tensor(0.00019916577504177212, shape=(), dtype=float64)","tf.Tensor(0.03170177969440593, shape=(), dtype=float64)"
"tf.Tensor(0.00019742862494479384, shape=(), dtype=float64)","tf.Tensor(0.031156956574988116, shape=(), dtype=float64)"
"tf.Tensor(0.0001982711747153273, shape=(), dtype=float64)","tf.Tensor(0.03057967446603311, shape=(), dtype=float64)"
"tf.Tensor(0.00018489290095948262, shape=(), dtype=float64)","tf.Tensor(0.03144874518945823, shape=(), dtype=float64)"
"tf.Tensor(0.00019998185723887917, shape=(), dtype=float64)","tf.Tensor(0.03141541567583917, shape=(), dtype=float64)"
"tf.Tensor(0.0002011855718289248, shape=(), dtype=float64)","tf.Tensor(0.03273449421064442, shape=(), dtype=float64)"
"tf.Tensor(0.00019718546701739606, shape=(), dtype=float64)","tf.Tensor(0.030982457516233654, shape=(), dtype=float64)"
"tf.Tensor(0.00020877225689746153, shape=(), dtype=float64)","tf.Tensor(0.03280023470816832, shape=(), dtype=float64)"
"tf.Tensor(0.0002008395634438564, shape=(), dtype=float64)","tf.Tensor(0.031486575442907325, shape=(), dtype=float64)"
"tf.Tensor(0.00018322139587443297, shape=(), dtype=float64)","tf.Tensor(0.030183177382203438, shape=(), dtype=float64)"
"tf.Tensor(0.00018761796996937484, shape=(), dtype=float64)","tf.Tensor(0.03078389194153987, shape=(), dtype=float64)"
"tf.Tensor(0.00020030901802784289, shape=(), dtype=float64)","tf.Tensor(0.0313119469044397, shape=(), dtype=float64)"
