err,val_err
"tf.Tensor(1.354950603635863e-05, shape=(), dtype=float64)","tf.Tensor(8.678307494772321e-06, shape=(), dtype=float64)"
"tf.Tensor(1.3024372463641073e-05, shape=(), dtype=float64)","tf.Tensor(9.7999229084698e-06, shape=(), dtype=float64)"
"tf.Tensor(1.4276788505014391e-05, shape=(), dtype=float64)","tf.Tensor(2.042556721518981e-06, shape=(), dtype=float64)"
"tf.Tensor(1.1717160578453429e-05, shape=(), dtype=float64)","tf.Tensor(7.31073999326318e-06, shape=(), dtype=float64)"
"tf.Tensor(1.2867470862977148e-05, shape=(), dtype=float64)","tf.Tensor(7.538969109013233e-07, shape=(), dtype=float64)"
"tf.Tensor(1.3745867575879295e-05, shape=(), dtype=float64)","tf.Tensor(8.533199613948071e-06, shape=(), dtype=float64)"
"tf.Tensor(1.1845536293879076e-05, shape=(), dtype=float64)","tf.Tensor(4.6720512204682875e-06, shape=(), dtype=float64)"
"tf.Tensor(1.2772579388969868e-05, shape=(), dtype=float64)","tf.Tensor(5.313738930130725e-06, shape=(), dtype=float64)"
"tf.Tensor(1.3588198970296627e-05, shape=(), dtype=float64)","tf.Tensor(9.72064802181806e-07, shape=(), dtype=float64)"
"tf.Tensor(1.1527074159881642e-05, shape=(), dtype=float64)","tf.Tensor(9.256032412464125e-06, shape=(), dtype=float64)"
"tf.Tensor(1.2452422629140142e-05, shape=(), dtype=float64)","tf.Tensor(2.033705113459446e-06, shape=(), dtype=float64)"
"tf.Tensor(1.2564130436580984e-05, shape=(), dtype=float64)","tf.Tensor(3.394754100964998e-06, shape=(), dtype=float64)"
"tf.Tensor(1.4143334372263237e-05, shape=(), dtype=float64)","tf.Tensor(8.888023162850924e-06, shape=(), dtype=float64)"
"tf.Tensor(1.2812751982624643e-05, shape=(), dtype=float64)","tf.Tensor(3.5899891913334902e-06, shape=(), dtype=float64)"
"tf.Tensor(1.1849315049158183e-05, shape=(), dtype=float64)","tf.Tensor(9.560338180689444e-06, shape=(), dtype=float64)"
"tf.Tensor(1.2199184424601655e-05, shape=(), dtype=float64)","tf.Tensor(1.8447714065632197e-05, shape=(), dtype=float64)"
"tf.Tensor(1.0985532436103327e-05, shape=(), dtype=float64)","tf.Tensor(8.664987096939503e-06, shape=(), dtype=float64)"
"tf.Tensor(1.1748848365766121e-05, shape=(), dtype=float64)","tf.Tensor(4.244976428112269e-05, shape=(), dtype=float64)"
"tf.Tensor(1.3238940039028484e-05, shape=(), dtype=float64)","tf.Tensor(4.362561756212729e-06, shape=(), dtype=float64)"
"tf.Tensor(1.3726656924501359e-05, shape=(), dtype=float64)","tf.Tensor(7.502050580422978e-05, shape=(), dtype=float64)"
"tf.Tensor(1.3136689764946992e-05, shape=(), dtype=float64)","tf.Tensor(3.809363852457359e-05, shape=(), dtype=float64)"
"tf.Tensor(1.1339306043021084e-05, shape=(), dtype=float64)","tf.Tensor(5.436047325470031e-06, shape=(), dtype=float64)"
"tf.Tensor(1.2329330394902255e-05, shape=(), dtype=float64)","tf.Tensor(6.665685648126939e-06, shape=(), dtype=float64)"
"tf.Tensor(1.3274622466428367e-05, shape=(), dtype=float64)","tf.Tensor(1.2294192200963745e-05, shape=(), dtype=float64)"
"tf.Tensor(1.3218648274664623e-05, shape=(), dtype=float64)","tf.Tensor(2.0253637187143114e-06, shape=(), dtype=float64)"
"tf.Tensor(1.2829981196986533e-05, shape=(), dtype=float64)","tf.Tensor(7.189965223185792e-05, shape=(), dtype=float64)"
"tf.Tensor(1.4697464029137636e-05, shape=(), dtype=float64)","tf.Tensor(4.5797899530860366e-06, shape=(), dtype=float64)"
"tf.Tensor(1.3594775978773243e-05, shape=(), dtype=float64)","tf.Tensor(5.0599617060890355e-05, shape=(), dtype=float64)"
"tf.Tensor(1.4519749140850598e-05, shape=(), dtype=float64)","tf.Tensor(5.8129884081816085e-06, shape=(), dtype=float64)"
"tf.Tensor(1.3330331146603007e-05, shape=(), dtype=float64)","tf.Tensor(1.3447576050013256e-05, shape=(), dtype=float64)"
"tf.Tensor(1.3984252511583077e-05, shape=(), dtype=float64)","tf.Tensor(5.5578997104613845e-06, shape=(), dtype=float64)"
"tf.Tensor(1.319298124359579e-05, shape=(), dtype=float64)","tf.Tensor(2.5270448539010154e-05, shape=(), dtype=float64)"
"tf.Tensor(1.2120288193017503e-05, shape=(), dtype=float64)","tf.Tensor(9.05828441492266e-07, shape=(), dtype=float64)"
"tf.Tensor(1.3654514264433396e-05, shape=(), dtype=float64)","tf.Tensor(4.267751170557532e-05, shape=(), dtype=float64)"
"tf.Tensor(1.2318216327229772e-05, shape=(), dtype=float64)","tf.Tensor(2.5180626569607995e-05, shape=(), dtype=float64)"
"tf.Tensor(1.319019982811323e-05, shape=(), dtype=float64)","tf.Tensor(4.126590332564048e-06, shape=(), dtype=float64)"
"tf.Tensor(1.2800939725904013e-05, shape=(), dtype=float64)","tf.Tensor(1.9914556104640292e-05, shape=(), dtype=float64)"
"tf.Tensor(1.30446682183974e-05, shape=(), dtype=float64)","tf.Tensor(0.00016020980734758505, shape=(), dtype=float64)"
"tf.Tensor(1.3268742094139578e-05, shape=(), dtype=float64)","tf.Tensor(2.6603676692366386e-05, shape=(), dtype=float64)"
"tf.Tensor(1.140513750844042e-05, shape=(), dtype=float64)","tf.Tensor(2.321281033884186e-06, shape=(), dtype=float64)"
"tf.Tensor(1.6800702438045168e-05, shape=(), dtype=float64)","tf.Tensor(2.9197522086143037e-06, shape=(), dtype=float64)"
"tf.Tensor(1.1679359931832206e-05, shape=(), dtype=float64)","tf.Tensor(0.00011032238607220608, shape=(), dtype=float64)"
"tf.Tensor(1.3680474342193223e-05, shape=(), dtype=float64)","tf.Tensor(2.8798570499953733e-05, shape=(), dtype=float64)"
"tf.Tensor(1.0294623540542004e-05, shape=(), dtype=float64)","tf.Tensor(1.4093058344587222e-05, shape=(), dtype=float64)"
"tf.Tensor(1.4074428765669316e-05, shape=(), dtype=float64)","tf.Tensor(1.7424380265294176e-05, shape=(), dtype=float64)"
"tf.Tensor(1.2848805041747064e-05, shape=(), dtype=float64)","tf.Tensor(1.0552663171531182e-05, shape=(), dtype=float64)"
"tf.Tensor(1.4529282000281924e-05, shape=(), dtype=float64)","tf.Tensor(1.3349471850254107e-05, shape=(), dtype=float64)"
"tf.Tensor(1.2612596600909585e-05, shape=(), dtype=float64)","tf.Tensor(3.6780801698431022e-06, shape=(), dtype=float64)"
"tf.Tensor(1.3827727212124887e-05, shape=(), dtype=float64)","tf.Tensor(2.1007670235358193e-06, shape=(), dtype=float64)"
"tf.Tensor(1.1804970444183204e-05, shape=(), dtype=float64)","tf.Tensor(9.810553534191811e-06, shape=(), dtype=float64)"
"tf.Tensor(1.3878309707760912e-05, shape=(), dtype=float64)","tf.Tensor(2.9861249483176835e-05, shape=(), dtype=float64)"
"tf.Tensor(1.306563651985546e-05, shape=(), dtype=float64)","tf.Tensor(5.4819412743008e-06, shape=(), dtype=float64)"
"tf.Tensor(1.1328882467630993e-05, shape=(), dtype=float64)","tf.Tensor(7.659758407782832e-05, shape=(), dtype=float64)"
"tf.Tensor(1.3689179726204433e-05, shape=(), dtype=float64)","tf.Tensor(2.495136893154722e-06, shape=(), dtype=float64)"
"tf.Tensor(1.3654707117539737e-05, shape=(), dtype=float64)","tf.Tensor(3.792854953963889e-06, shape=(), dtype=float64)"
"tf.Tensor(1.3679222999055413e-05, shape=(), dtype=float64)","tf.Tensor(6.954781083894451e-06, shape=(), dtype=float64)"
"tf.Tensor(1.6349224989887796e-05, shape=(), dtype=float64)","tf.Tensor(1.6292569166221948e-06, shape=(), dtype=float64)"
"tf.Tensor(1.3120891915223233e-05, shape=(), dtype=float64)","tf.Tensor(6.395380650743087e-05, shape=(), dtype=float64)"
"tf.Tensor(1.2057284650761126e-05, shape=(), dtype=float64)","tf.Tensor(2.159077527051786e-05, shape=(), dtype=float64)"
"tf.Tensor(1.2857944110045002e-05, shape=(), dtype=float64)","tf.Tensor(8.919533875078208e-06, shape=(), dtype=float64)"
"tf.Tensor(1.2458400881259105e-05, shape=(), dtype=float64)","tf.Tensor(1.728016093183141e-05, shape=(), dtype=float64)"
"tf.Tensor(1.1082016422082278e-05, shape=(), dtype=float64)","tf.Tensor(7.67814286909954e-06, shape=(), dtype=float64)"
"tf.Tensor(1.3431424386906018e-05, shape=(), dtype=float64)","tf.Tensor(2.2248965214346747e-05, shape=(), dtype=float64)"
"tf.Tensor(1.2571383457131984e-05, shape=(), dtype=float64)","tf.Tensor(4.350759527355155e-06, shape=(), dtype=float64)"
"tf.Tensor(1.2620251848547608e-05, shape=(), dtype=float64)","tf.Tensor(1.3007019458300954e-05, shape=(), dtype=float64)"
"tf.Tensor(1.3799040182110485e-05, shape=(), dtype=float64)","tf.Tensor(8.828306711467136e-06, shape=(), dtype=float64)"
"tf.Tensor(1.278543923349947e-05, shape=(), dtype=float64)","tf.Tensor(3.668691750802316e-05, shape=(), dtype=float64)"
"tf.Tensor(1.1841406874322116e-05, shape=(), dtype=float64)","tf.Tensor(2.0063147071671537e-05, shape=(), dtype=float64)"
"tf.Tensor(1.326577841282854e-05, shape=(), dtype=float64)","tf.Tensor(1.0469683410503631e-05, shape=(), dtype=float64)"
"tf.Tensor(1.5153058999624992e-05, shape=(), dtype=float64)","tf.Tensor(4.168355249421056e-05, shape=(), dtype=float64)"
"tf.Tensor(1.2596118806219224e-05, shape=(), dtype=float64)","tf.Tensor(1.3383546616185206e-05, shape=(), dtype=float64)"
"tf.Tensor(1.3710349390113315e-05, shape=(), dtype=float64)","tf.Tensor(1.519508957794089e-05, shape=(), dtype=float64)"
"tf.Tensor(1.1645840405203729e-05, shape=(), dtype=float64)","tf.Tensor(1.759802549317593e-05, shape=(), dtype=float64)"
"tf.Tensor(1.619943527327799e-05, shape=(), dtype=float64)","tf.Tensor(4.0770189453315665e-06, shape=(), dtype=float64)"
"tf.Tensor(1.2203941537594147e-05, shape=(), dtype=float64)","tf.Tensor(7.007741241359024e-05, shape=(), dtype=float64)"
"tf.Tensor(1.2767195186355448e-05, shape=(), dtype=float64)","tf.Tensor(6.0477793352974045e-05, shape=(), dtype=float64)"
"tf.Tensor(1.3581335679134302e-05, shape=(), dtype=float64)","tf.Tensor(6.186434909170158e-06, shape=(), dtype=float64)"
"tf.Tensor(1.229918671837152e-05, shape=(), dtype=float64)","tf.Tensor(8.516496076118133e-06, shape=(), dtype=float64)"
"tf.Tensor(1.284988567474609e-05, shape=(), dtype=float64)","tf.Tensor(7.777570306742781e-06, shape=(), dtype=float64)"
"tf.Tensor(1.2636188750562703e-05, shape=(), dtype=float64)","tf.Tensor(2.4662922392807166e-05, shape=(), dtype=float64)"
"tf.Tensor(1.3417720899255695e-05, shape=(), dtype=float64)","tf.Tensor(5.699637980456989e-06, shape=(), dtype=float64)"
"tf.Tensor(1.3163174307625133e-05, shape=(), dtype=float64)","tf.Tensor(5.6825391891976034e-06, shape=(), dtype=float64)"
"tf.Tensor(1.1642123904850867e-05, shape=(), dtype=float64)","tf.Tensor(7.4083658889932825e-06, shape=(), dtype=float64)"
"tf.Tensor(1.2984631276437838e-05, shape=(), dtype=float64)","tf.Tensor(9.21163775140059e-06, shape=(), dtype=float64)"
"tf.Tensor(1.192899091784306e-05, shape=(), dtype=float64)","tf.Tensor(1.9945621207057053e-05, shape=(), dtype=float64)"
