err,val_err
"tf.Tensor(0.00010212244652765899, shape=(), dtype=float64)","tf.Tensor(0.007874339941427716, shape=(), dtype=float64)"
"tf.Tensor(0.00012680880405283685, shape=(), dtype=float64)","tf.Tensor(0.008577430365390751, shape=(), dtype=float64)"
"tf.Tensor(0.00010424741098866181, shape=(), dtype=float64)","tf.Tensor(0.008534950689286476, shape=(), dtype=float64)"
"tf.Tensor(8.415492066367067e-05, shape=(), dtype=float64)","tf.Tensor(0.009001434610727303, shape=(), dtype=float64)"
"tf.Tensor(0.00010617503037781657, shape=(), dtype=float64)","tf.Tensor(0.01016801113511479, shape=(), dtype=float64)"
"tf.Tensor(9.930003569821874e-05, shape=(), dtype=float64)","tf.Tensor(0.008501973583931415, shape=(), dtype=float64)"
"tf.Tensor(0.00010841445996586372, shape=(), dtype=float64)","tf.Tensor(0.008341285894775554, shape=(), dtype=float64)"
"tf.Tensor(0.0001156032404387212, shape=(), dtype=float64)","tf.Tensor(0.008188339126238871, shape=(), dtype=float64)"
"tf.Tensor(0.00010251854998651261, shape=(), dtype=float64)","tf.Tensor(0.009282112472709507, shape=(), dtype=float64)"
"tf.Tensor(0.00011287512212598274, shape=(), dtype=float64)","tf.Tensor(0.008679756131000776, shape=(), dtype=float64)"
"tf.Tensor(8.990260635497412e-05, shape=(), dtype=float64)","tf.Tensor(0.007575454699197147, shape=(), dtype=float64)"
"tf.Tensor(9.632984381904871e-05, shape=(), dtype=float64)","tf.Tensor(0.007256598182524231, shape=(), dtype=float64)"
"tf.Tensor(9.631771415644116e-05, shape=(), dtype=float64)","tf.Tensor(0.00957301808149657, shape=(), dtype=float64)"
"tf.Tensor(0.00010739675242039706, shape=(), dtype=float64)","tf.Tensor(0.009346702662380888, shape=(), dtype=float64)"
"tf.Tensor(0.00010273274843126333, shape=(), dtype=float64)","tf.Tensor(0.009558528564717235, shape=(), dtype=float64)"
"tf.Tensor(9.559385350654307e-05, shape=(), dtype=float64)","tf.Tensor(0.00732609832944871, shape=(), dtype=float64)"
"tf.Tensor(9.092646844523498e-05, shape=(), dtype=float64)","tf.Tensor(0.007953330023215705, shape=(), dtype=float64)"
"tf.Tensor(0.00011808636029481702, shape=(), dtype=float64)","tf.Tensor(0.009499450047674598, shape=(), dtype=float64)"
"tf.Tensor(0.00010170408761762678, shape=(), dtype=float64)","tf.Tensor(0.009088693470488107, shape=(), dtype=float64)"
"tf.Tensor(8.941773190399206e-05, shape=(), dtype=float64)","tf.Tensor(0.008404781619015499, shape=(), dtype=float64)"
"tf.Tensor(8.406556142575147e-05, shape=(), dtype=float64)","tf.Tensor(0.008517240095944385, shape=(), dtype=float64)"
"tf.Tensor(0.00010563779205359108, shape=(), dtype=float64)","tf.Tensor(0.008552643825264565, shape=(), dtype=float64)"
"tf.Tensor(9.258084346544763e-05, shape=(), dtype=float64)","tf.Tensor(0.008321428930420196, shape=(), dtype=float64)"
"tf.Tensor(8.806080759237708e-05, shape=(), dtype=float64)","tf.Tensor(0.01067044249421269, shape=(), dtype=float64)"
"tf.Tensor(9.366442337260233e-05, shape=(), dtype=float64)","tf.Tensor(0.008630503096227597, shape=(), dtype=float64)"
"tf.Tensor(0.00010721510055326966, shape=(), dtype=float64)","tf.Tensor(0.010241834608552219, shape=(), dtype=float64)"
