err,val_err
"tf.Tensor(0.006680524197460213, shape=(), dtype=float64)","tf.Tensor(0.0012759334124584705, shape=(), dtype=float64)"
"tf.Tensor(0.006678265888957972, shape=(), dtype=float64)","tf.Tensor(0.0012764520532704657, shape=(), dtype=float64)"
"tf.Tensor(0.006678740909670118, shape=(), dtype=float64)","tf.Tensor(0.0013584372352587698, shape=(), dtype=float64)"
"tf.Tensor(0.0066766250310056376, shape=(), dtype=float64)","tf.Tensor(0.0012407719526651147, shape=(), dtype=float64)"
"tf.Tensor(0.006677862764255516, shape=(), dtype=float64)","tf.Tensor(0.0012240533216228888, shape=(), dtype=float64)"
"tf.Tensor(0.006678343799453932, shape=(), dtype=float64)","tf.Tensor(0.0015267941180009531, shape=(), dtype=float64)"
"tf.Tensor(0.006678637250524937, shape=(), dtype=float64)","tf.Tensor(0.001448900629259091, shape=(), dtype=float64)"
"tf.Tensor(0.006676917659730501, shape=(), dtype=float64)","tf.Tensor(0.0022442351154675607, shape=(), dtype=float64)"
"tf.Tensor(0.006675508511105748, shape=(), dtype=float64)","tf.Tensor(0.0022250671364739934, shape=(), dtype=float64)"
"tf.Tensor(0.006676075146760679, shape=(), dtype=float64)","tf.Tensor(0.002556846649970744, shape=(), dtype=float64)"
"tf.Tensor(0.006675317925798733, shape=(), dtype=float64)","tf.Tensor(0.0034626032761283293, shape=(), dtype=float64)"
"tf.Tensor(0.006676741803976026, shape=(), dtype=float64)","tf.Tensor(0.002634290255700633, shape=(), dtype=float64)"
"tf.Tensor(0.006676071245246068, shape=(), dtype=float64)","tf.Tensor(0.0025936862846647163, shape=(), dtype=float64)"
"tf.Tensor(0.00667493649117806, shape=(), dtype=float64)","tf.Tensor(0.0021924906695802594, shape=(), dtype=float64)"
"tf.Tensor(0.0066764037215371694, shape=(), dtype=float64)","tf.Tensor(0.0023651981238036724, shape=(), dtype=float64)"
"tf.Tensor(0.006678188323151439, shape=(), dtype=float64)","tf.Tensor(0.002817941568698692, shape=(), dtype=float64)"
"tf.Tensor(0.00667740940630146, shape=(), dtype=float64)","tf.Tensor(0.0020315231747201875, shape=(), dtype=float64)"
