err,val_err
"tf.Tensor(0.00955312204526321, shape=(), dtype=float64)","tf.Tensor(0.001299588571540668, shape=(), dtype=float64)"
"tf.Tensor(0.009555185301111015, shape=(), dtype=float64)","tf.Tensor(0.0009892014598373204, shape=(), dtype=float64)"
"tf.Tensor(0.008806878094827653, shape=(), dtype=float64)","tf.Tensor(0.0011275701791459876, shape=(), dtype=float64)"
"tf.Tensor(0.008806670680073271, shape=(), dtype=float64)","tf.Tensor(0.0010864100237744148, shape=(), dtype=float64)"
"tf.Tensor(0.00880674911814485, shape=(), dtype=float64)","tf.Tensor(0.001213627982414645, shape=(), dtype=float64)"
"tf.Tensor(0.0030538823940727683, shape=(), dtype=float64)","tf.Tensor(0.0013828995160790546, shape=(), dtype=float64)"
"tf.Tensor(0.0030546904550657434, shape=(), dtype=float64)","tf.Tensor(0.001205928121956635, shape=(), dtype=float64)"
"tf.Tensor(0.003051675913949789, shape=(), dtype=float64)","tf.Tensor(0.0011119827434213551, shape=(), dtype=float64)"
"tf.Tensor(0.003054559726983954, shape=(), dtype=float64)","tf.Tensor(0.0013883158178519643, shape=(), dtype=float64)"
"tf.Tensor(0.003056634500125485, shape=(), dtype=float64)","tf.Tensor(0.0013169666740857852, shape=(), dtype=float64)"
"tf.Tensor(0.0030531672232978046, shape=(), dtype=float64)","tf.Tensor(0.0011884838229635321, shape=(), dtype=float64)"
"tf.Tensor(0.003053983822604194, shape=(), dtype=float64)","tf.Tensor(0.001185782708968933, shape=(), dtype=float64)"
"tf.Tensor(0.00305464802579702, shape=(), dtype=float64)","tf.Tensor(0.0011866082049309173, shape=(), dtype=float64)"
"tf.Tensor(0.003052548613046397, shape=(), dtype=float64)","tf.Tensor(0.0010709429087721195, shape=(), dtype=float64)"
"tf.Tensor(0.0030537645979961266, shape=(), dtype=float64)","tf.Tensor(0.0012435564399873767, shape=(), dtype=float64)"
"tf.Tensor(0.003054206035332852, shape=(), dtype=float64)","tf.Tensor(0.001257390768737225, shape=(), dtype=float64)"
"tf.Tensor(0.003055579173608988, shape=(), dtype=float64)","tf.Tensor(0.0011835660286057823, shape=(), dtype=float64)"
"tf.Tensor(0.003051952440083474, shape=(), dtype=float64)","tf.Tensor(0.0011638063361605808, shape=(), dtype=float64)"
"tf.Tensor(0.003053911460974281, shape=(), dtype=float64)","tf.Tensor(0.001285899827050386, shape=(), dtype=float64)"
"tf.Tensor(0.003052106045718123, shape=(), dtype=float64)","tf.Tensor(0.0011949110071989694, shape=(), dtype=float64)"
