err,val_err
"tf.Tensor(0.0014552119489947824, shape=(), dtype=float64)","tf.Tensor(0.002360161612910149, shape=(), dtype=float64)"
"tf.Tensor(0.0014536893484778427, shape=(), dtype=float64)","tf.Tensor(0.0021947799913655027, shape=(), dtype=float64)"
"tf.Tensor(0.0014561324750950449, shape=(), dtype=float64)","tf.Tensor(0.0028072026329221933, shape=(), dtype=float64)"
"tf.Tensor(0.001453977382383389, shape=(), dtype=float64)","tf.Tensor(0.002293491237539136, shape=(), dtype=float64)"
"tf.Tensor(0.0014537725069259414, shape=(), dtype=float64)","tf.Tensor(0.0020231397452420683, shape=(), dtype=float64)"
"tf.Tensor(0.001457698474370518, shape=(), dtype=float64)","tf.Tensor(0.0020495473887610026, shape=(), dtype=float64)"
"tf.Tensor(0.0014534669489820106, shape=(), dtype=float64)","tf.Tensor(0.00171623396904399, shape=(), dtype=float64)"
"tf.Tensor(0.0014566762052066603, shape=(), dtype=float64)","tf.Tensor(0.0020152929511187906, shape=(), dtype=float64)"
"tf.Tensor(0.001455439897575519, shape=(), dtype=float64)","tf.Tensor(0.0022999747008937755, shape=(), dtype=float64)"
"tf.Tensor(0.0014556390563641437, shape=(), dtype=float64)","tf.Tensor(0.002096719271602369, shape=(), dtype=float64)"
"tf.Tensor(0.001440445553857235, shape=(), dtype=float64)","tf.Tensor(0.002302045629312787, shape=(), dtype=float64)"
"tf.Tensor(0.0014392686528026967, shape=(), dtype=float64)","tf.Tensor(0.0022101459653308744, shape=(), dtype=float64)"
"tf.Tensor(0.0014422767077297773, shape=(), dtype=float64)","tf.Tensor(0.0017443233514024227, shape=(), dtype=float64)"
"tf.Tensor(0.001438485902302703, shape=(), dtype=float64)","tf.Tensor(0.0018237321119629571, shape=(), dtype=float64)"
"tf.Tensor(0.0014386539967374933, shape=(), dtype=float64)","tf.Tensor(0.0019788117170167754, shape=(), dtype=float64)"
"tf.Tensor(0.001438355988863583, shape=(), dtype=float64)","tf.Tensor(0.002749509025867602, shape=(), dtype=float64)"
"tf.Tensor(0.0014383023935811568, shape=(), dtype=float64)","tf.Tensor(0.0020299099728907162, shape=(), dtype=float64)"
"tf.Tensor(0.0014392435761932138, shape=(), dtype=float64)","tf.Tensor(0.002034956718159671, shape=(), dtype=float64)"
"tf.Tensor(0.001438791674295439, shape=(), dtype=float64)","tf.Tensor(0.0018711666558028158, shape=(), dtype=float64)"
"tf.Tensor(0.0014380683743357688, shape=(), dtype=float64)","tf.Tensor(0.0018088301614843808, shape=(), dtype=float64)"
"tf.Tensor(0.0014398534758124557, shape=(), dtype=float64)","tf.Tensor(0.0016386631361530373, shape=(), dtype=float64)"
"tf.Tensor(0.0014381721197301313, shape=(), dtype=float64)","tf.Tensor(0.002170137414222044, shape=(), dtype=float64)"
"tf.Tensor(0.001439127860268305, shape=(), dtype=float64)","tf.Tensor(0.002673691949233479, shape=(), dtype=float64)"
"tf.Tensor(0.0014379132673095517, shape=(), dtype=float64)","tf.Tensor(0.002545355252376243, shape=(), dtype=float64)"
"tf.Tensor(0.001437257724830287, shape=(), dtype=float64)","tf.Tensor(0.013597012063577869, shape=(), dtype=float64)"
"tf.Tensor(0.0014399731891250789, shape=(), dtype=float64)","tf.Tensor(0.012342115821042712, shape=(), dtype=float64)"
"tf.Tensor(0.0014381306090566909, shape=(), dtype=float64)","tf.Tensor(0.012795142433274894, shape=(), dtype=float64)"
"tf.Tensor(0.0014367644600523175, shape=(), dtype=float64)","tf.Tensor(0.010854852625665039, shape=(), dtype=float64)"
"tf.Tensor(0.0014374735740385572, shape=(), dtype=float64)","tf.Tensor(0.012089993471620165, shape=(), dtype=float64)"
"tf.Tensor(0.0014389411030547889, shape=(), dtype=float64)","tf.Tensor(0.011759755686001868, shape=(), dtype=float64)"
"tf.Tensor(0.0014397170850811336, shape=(), dtype=float64)","tf.Tensor(0.007895181684873607, shape=(), dtype=float64)"
"tf.Tensor(0.0014367711215059707, shape=(), dtype=float64)","tf.Tensor(0.008276341332317954, shape=(), dtype=float64)"
"tf.Tensor(0.001437035265520689, shape=(), dtype=float64)","tf.Tensor(0.008893014837214462, shape=(), dtype=float64)"
"tf.Tensor(0.0014401517929924486, shape=(), dtype=float64)","tf.Tensor(0.008205996052967143, shape=(), dtype=float64)"
"tf.Tensor(0.0014375270889292577, shape=(), dtype=float64)","tf.Tensor(0.008408773189538536, shape=(), dtype=float64)"
"tf.Tensor(0.0014387138484371102, shape=(), dtype=float64)","tf.Tensor(0.007199860383950343, shape=(), dtype=float64)"
"tf.Tensor(0.0014393203263655728, shape=(), dtype=float64)","tf.Tensor(0.008366537682782234, shape=(), dtype=float64)"
