err,val_err
"tf.Tensor(0.0018335841886161705, shape=(), dtype=float64)","tf.Tensor(0.0013688174631707628, shape=(), dtype=float64)"
"tf.Tensor(0.0018197339897546858, shape=(), dtype=float64)","tf.Tensor(0.008025359483974828, shape=(), dtype=float64)"
"tf.Tensor(0.001823507606531116, shape=(), dtype=float64)","tf.Tensor(0.005733897280843961, shape=(), dtype=float64)"
"tf.Tensor(0.0018215202182271578, shape=(), dtype=float64)","tf.Tensor(0.008031531982157347, shape=(), dtype=float64)"
"tf.Tensor(0.0018219470529756197, shape=(), dtype=float64)","tf.Tensor(0.009084478263715492, shape=(), dtype=float64)"
"tf.Tensor(0.0018226238374352626, shape=(), dtype=float64)","tf.Tensor(0.008726585672802082, shape=(), dtype=float64)"
"tf.Tensor(0.0018205018017426878, shape=(), dtype=float64)","tf.Tensor(0.009964129011172067, shape=(), dtype=float64)"
"tf.Tensor(0.0018240434159396421, shape=(), dtype=float64)","tf.Tensor(0.004173399874825148, shape=(), dtype=float64)"
"tf.Tensor(0.0018214135897552572, shape=(), dtype=float64)","tf.Tensor(0.011384064783707253, shape=(), dtype=float64)"
"tf.Tensor(0.0018216804111683036, shape=(), dtype=float64)","tf.Tensor(0.015192767424053554, shape=(), dtype=float64)"
"tf.Tensor(0.0018219412054417594, shape=(), dtype=float64)","tf.Tensor(0.00888486680748502, shape=(), dtype=float64)"
"tf.Tensor(0.0018167506068474456, shape=(), dtype=float64)","tf.Tensor(0.0075133801812649875, shape=(), dtype=float64)"
"tf.Tensor(0.0018194770565898863, shape=(), dtype=float64)","tf.Tensor(0.009647176706022886, shape=(), dtype=float64)"
"tf.Tensor(0.0018177773007361203, shape=(), dtype=float64)","tf.Tensor(0.012498611309084938, shape=(), dtype=float64)"
"tf.Tensor(0.0018170969998530509, shape=(), dtype=float64)","tf.Tensor(0.006371346699230588, shape=(), dtype=float64)"
"tf.Tensor(0.0018174001436716694, shape=(), dtype=float64)","tf.Tensor(0.007803628830568853, shape=(), dtype=float64)"
"tf.Tensor(0.0018183136901570314, shape=(), dtype=float64)","tf.Tensor(0.008556422259351189, shape=(), dtype=float64)"
"tf.Tensor(0.0018181599173790646, shape=(), dtype=float64)","tf.Tensor(0.008784000294350964, shape=(), dtype=float64)"
"tf.Tensor(0.0018173914088821447, shape=(), dtype=float64)","tf.Tensor(0.007226683141127322, shape=(), dtype=float64)"
"tf.Tensor(0.0018178109347869859, shape=(), dtype=float64)","tf.Tensor(0.00970394926142321, shape=(), dtype=float64)"
"tf.Tensor(0.0018214222964218663, shape=(), dtype=float64)","tf.Tensor(0.009463116468349962, shape=(), dtype=float64)"
"tf.Tensor(0.001817104448959667, shape=(), dtype=float64)","tf.Tensor(0.01036478019009809, shape=(), dtype=float64)"
"tf.Tensor(0.001815736391846518, shape=(), dtype=float64)","tf.Tensor(0.009407939149677693, shape=(), dtype=float64)"
"tf.Tensor(0.0018183478622707193, shape=(), dtype=float64)","tf.Tensor(0.0027973256293261327, shape=(), dtype=float64)"
"tf.Tensor(0.0018208100653421874, shape=(), dtype=float64)","tf.Tensor(0.004843407976001281, shape=(), dtype=float64)"
"tf.Tensor(0.0018204153143918482, shape=(), dtype=float64)","tf.Tensor(0.009744375760302808, shape=(), dtype=float64)"
"tf.Tensor(0.0018207491343771639, shape=(), dtype=float64)","tf.Tensor(0.006028519452501845, shape=(), dtype=float64)"
"tf.Tensor(0.0018157303322422983, shape=(), dtype=float64)","tf.Tensor(0.006416012307352358, shape=(), dtype=float64)"
"tf.Tensor(0.0018166153774643145, shape=(), dtype=float64)","tf.Tensor(0.0027846370589086136, shape=(), dtype=float64)"
"tf.Tensor(0.0018181929122882059, shape=(), dtype=float64)","tf.Tensor(0.0027079985810308216, shape=(), dtype=float64)"
"tf.Tensor(0.0018156284139586856, shape=(), dtype=float64)","tf.Tensor(0.002692416648136042, shape=(), dtype=float64)"
"tf.Tensor(0.0018208038323533659, shape=(), dtype=float64)","tf.Tensor(0.004395264223917768, shape=(), dtype=float64)"
"tf.Tensor(0.0018233060038206476, shape=(), dtype=float64)","tf.Tensor(0.004278965562357263, shape=(), dtype=float64)"
"tf.Tensor(0.0018170797521109632, shape=(), dtype=float64)","tf.Tensor(0.0032018458840305745, shape=(), dtype=float64)"
"tf.Tensor(0.0018198539832593504, shape=(), dtype=float64)","tf.Tensor(0.002983823969558585, shape=(), dtype=float64)"
"tf.Tensor(0.0018265818443690797, shape=(), dtype=float64)","tf.Tensor(0.0029861753765503536, shape=(), dtype=float64)"
"tf.Tensor(0.0018204051276805877, shape=(), dtype=float64)","tf.Tensor(0.0016342900608003075, shape=(), dtype=float64)"
"tf.Tensor(0.0018211928820843313, shape=(), dtype=float64)","tf.Tensor(0.002104943146883196, shape=(), dtype=float64)"
"tf.Tensor(0.0018182861038515752, shape=(), dtype=float64)","tf.Tensor(0.002636016639370312, shape=(), dtype=float64)"
"tf.Tensor(0.0018252943060406658, shape=(), dtype=float64)","tf.Tensor(0.0025257001144624322, shape=(), dtype=float64)"
"tf.Tensor(0.0018167098334901399, shape=(), dtype=float64)","tf.Tensor(0.0017352623431477398, shape=(), dtype=float64)"
"tf.Tensor(0.0018151401278469481, shape=(), dtype=float64)","tf.Tensor(0.003782562162351425, shape=(), dtype=float64)"
"tf.Tensor(0.0018188865131801408, shape=(), dtype=float64)","tf.Tensor(0.001197633838137486, shape=(), dtype=float64)"
"tf.Tensor(0.001817302320156424, shape=(), dtype=float64)","tf.Tensor(0.003941442464936515, shape=(), dtype=float64)"
"tf.Tensor(0.0018174775650986329, shape=(), dtype=float64)","tf.Tensor(0.002393084585246002, shape=(), dtype=float64)"
"tf.Tensor(0.0018163417167817643, shape=(), dtype=float64)","tf.Tensor(0.0021142883603871045, shape=(), dtype=float64)"
"tf.Tensor(0.001815859113247313, shape=(), dtype=float64)","tf.Tensor(0.003050205673268155, shape=(), dtype=float64)"
"tf.Tensor(0.0018180362464234247, shape=(), dtype=float64)","tf.Tensor(0.0029762458608128288, shape=(), dtype=float64)"
"tf.Tensor(0.0018159471083277084, shape=(), dtype=float64)","tf.Tensor(0.002635659461288491, shape=(), dtype=float64)"
"tf.Tensor(0.0018124666103849448, shape=(), dtype=float64)","tf.Tensor(0.0027873237650029295, shape=(), dtype=float64)"
"tf.Tensor(0.0018170476695995434, shape=(), dtype=float64)","tf.Tensor(0.0027580725169621314, shape=(), dtype=float64)"
"tf.Tensor(0.001816297056962407, shape=(), dtype=float64)","tf.Tensor(0.002233454143413643, shape=(), dtype=float64)"
"tf.Tensor(0.0018153687523754683, shape=(), dtype=float64)","tf.Tensor(0.0025804178119649174, shape=(), dtype=float64)"
"tf.Tensor(0.0018149405470114532, shape=(), dtype=float64)","tf.Tensor(0.0027242679482581984, shape=(), dtype=float64)"
"tf.Tensor(0.0018190890075373025, shape=(), dtype=float64)","tf.Tensor(0.0021136281276404752, shape=(), dtype=float64)"
"tf.Tensor(0.0018163901246283235, shape=(), dtype=float64)","tf.Tensor(0.002380730022484192, shape=(), dtype=float64)"
"tf.Tensor(0.0018169817941546072, shape=(), dtype=float64)","tf.Tensor(0.0023852877168173145, shape=(), dtype=float64)"
"tf.Tensor(0.001816966373925517, shape=(), dtype=float64)","tf.Tensor(0.0007857631131648576, shape=(), dtype=float64)"
"tf.Tensor(0.0018184699694978042, shape=(), dtype=float64)","tf.Tensor(0.000860818667070009, shape=(), dtype=float64)"
"tf.Tensor(0.0018161545235814874, shape=(), dtype=float64)","tf.Tensor(0.000750901033577598, shape=(), dtype=float64)"
"tf.Tensor(0.0018195549431883299, shape=(), dtype=float64)","tf.Tensor(0.0006735466681750868, shape=(), dtype=float64)"
"tf.Tensor(0.0018177452468842606, shape=(), dtype=float64)","tf.Tensor(0.0006349720016221679, shape=(), dtype=float64)"
"tf.Tensor(0.0018155924461514873, shape=(), dtype=float64)","tf.Tensor(0.0007178000964398944, shape=(), dtype=float64)"
"tf.Tensor(0.001815487657927565, shape=(), dtype=float64)","tf.Tensor(0.0007317353420580394, shape=(), dtype=float64)"
"tf.Tensor(0.0018204092319990118, shape=(), dtype=float64)","tf.Tensor(0.0006227211432254714, shape=(), dtype=float64)"
"tf.Tensor(0.0018128247290363432, shape=(), dtype=float64)","tf.Tensor(0.00059562522519174, shape=(), dtype=float64)"
"tf.Tensor(0.0018169942850881303, shape=(), dtype=float64)","tf.Tensor(0.0005570858210659814, shape=(), dtype=float64)"
"tf.Tensor(0.0018159834237887564, shape=(), dtype=float64)","tf.Tensor(0.0005907015891790045, shape=(), dtype=float64)"
"tf.Tensor(0.0018180909302467345, shape=(), dtype=float64)","tf.Tensor(0.0006434489293601246, shape=(), dtype=float64)"
