err,val_err
"tf.Tensor(6.194458317344385e-05, shape=(), dtype=float64)","tf.Tensor(0.024666754086480783, shape=(), dtype=float64)"
"tf.Tensor(6.009801348321176e-05, shape=(), dtype=float64)","tf.Tensor(0.016938838013630362, shape=(), dtype=float64)"
"tf.Tensor(6.292956351467632e-05, shape=(), dtype=float64)","tf.Tensor(0.023354200107548573, shape=(), dtype=float64)"
"tf.Tensor(6.479783414445132e-05, shape=(), dtype=float64)","tf.Tensor(0.020732186202575244, shape=(), dtype=float64)"
"tf.Tensor(5.872922457687628e-05, shape=(), dtype=float64)","tf.Tensor(0.025995020712369876, shape=(), dtype=float64)"
"tf.Tensor(6.0060131270744963e-05, shape=(), dtype=float64)","tf.Tensor(0.022152028065547266, shape=(), dtype=float64)"
"tf.Tensor(6.27755415252122e-05, shape=(), dtype=float64)","tf.Tensor(0.011433042846006337, shape=(), dtype=float64)"
"tf.Tensor(6.014078658479689e-05, shape=(), dtype=float64)","tf.Tensor(0.011693529406048175, shape=(), dtype=float64)"
"tf.Tensor(6.30242555434711e-05, shape=(), dtype=float64)","tf.Tensor(0.010261476950964537, shape=(), dtype=float64)"
"tf.Tensor(6.154585021766409e-05, shape=(), dtype=float64)","tf.Tensor(0.013611247056503352, shape=(), dtype=float64)"
"tf.Tensor(6.139328952383993e-05, shape=(), dtype=float64)","tf.Tensor(0.010996558069387284, shape=(), dtype=float64)"
"tf.Tensor(6.192030778166295e-05, shape=(), dtype=float64)","tf.Tensor(0.012089037221341928, shape=(), dtype=float64)"
"tf.Tensor(6.253491351166041e-05, shape=(), dtype=float64)","tf.Tensor(0.011140123495215799, shape=(), dtype=float64)"
"tf.Tensor(5.956624635488445e-05, shape=(), dtype=float64)","tf.Tensor(0.011503950029439661, shape=(), dtype=float64)"
"tf.Tensor(5.827375093851855e-05, shape=(), dtype=float64)","tf.Tensor(0.010534572530802646, shape=(), dtype=float64)"
"tf.Tensor(6.263847829579839e-05, shape=(), dtype=float64)","tf.Tensor(0.011030396309661817, shape=(), dtype=float64)"
"tf.Tensor(5.889304828243093e-05, shape=(), dtype=float64)","tf.Tensor(0.012129131195092744, shape=(), dtype=float64)"
"tf.Tensor(6.206131884206209e-05, shape=(), dtype=float64)","tf.Tensor(0.012247968839047609, shape=(), dtype=float64)"
"tf.Tensor(6.441684505183484e-05, shape=(), dtype=float64)","tf.Tensor(0.016166805473246722, shape=(), dtype=float64)"
"tf.Tensor(6.244367071176136e-05, shape=(), dtype=float64)","tf.Tensor(0.010456685563029143, shape=(), dtype=float64)"
"tf.Tensor(6.258548469783482e-05, shape=(), dtype=float64)","tf.Tensor(0.010594186449096401, shape=(), dtype=float64)"
"tf.Tensor(6.201820431813281e-05, shape=(), dtype=float64)","tf.Tensor(0.010184138222461163, shape=(), dtype=float64)"
"tf.Tensor(6.27974041095879e-05, shape=(), dtype=float64)","tf.Tensor(0.010094610475570101, shape=(), dtype=float64)"
"tf.Tensor(6.150756548885963e-05, shape=(), dtype=float64)","tf.Tensor(0.009403973914432845, shape=(), dtype=float64)"
"tf.Tensor(5.93713049024606e-05, shape=(), dtype=float64)","tf.Tensor(0.009261664484561175, shape=(), dtype=float64)"
"tf.Tensor(6.0912432529127195e-05, shape=(), dtype=float64)","tf.Tensor(0.008877095134894717, shape=(), dtype=float64)"
"tf.Tensor(6.303088168040296e-05, shape=(), dtype=float64)","tf.Tensor(0.009662572958700733, shape=(), dtype=float64)"
"tf.Tensor(6.344835495492595e-05, shape=(), dtype=float64)","tf.Tensor(0.010913450804322348, shape=(), dtype=float64)"
"tf.Tensor(6.401516908440772e-05, shape=(), dtype=float64)","tf.Tensor(0.010176563769074123, shape=(), dtype=float64)"
"tf.Tensor(6.403057801897137e-05, shape=(), dtype=float64)","tf.Tensor(0.010727268833815515, shape=(), dtype=float64)"
"tf.Tensor(6.190490468897717e-05, shape=(), dtype=float64)","tf.Tensor(0.010540036975923832, shape=(), dtype=float64)"
"tf.Tensor(6.419943488781043e-05, shape=(), dtype=float64)","tf.Tensor(0.009319270941668498, shape=(), dtype=float64)"
"tf.Tensor(6.576803299351147e-05, shape=(), dtype=float64)","tf.Tensor(0.009867596474769189, shape=(), dtype=float64)"
"tf.Tensor(6.327752354287076e-05, shape=(), dtype=float64)","tf.Tensor(0.009549826168939204, shape=(), dtype=float64)"
"tf.Tensor(6.905937380367458e-05, shape=(), dtype=float64)","tf.Tensor(0.009289232689392368, shape=(), dtype=float64)"
"tf.Tensor(6.285644862686489e-05, shape=(), dtype=float64)","tf.Tensor(0.009469247898205033, shape=(), dtype=float64)"
"tf.Tensor(6.25215915073673e-05, shape=(), dtype=float64)","tf.Tensor(0.009159272842100183, shape=(), dtype=float64)"
"tf.Tensor(6.568191793497494e-05, shape=(), dtype=float64)","tf.Tensor(0.007886478481712313, shape=(), dtype=float64)"
"tf.Tensor(6.27270669936934e-05, shape=(), dtype=float64)","tf.Tensor(0.0076936598763405655, shape=(), dtype=float64)"
