err,val_err
"tf.Tensor(0.00010230675156111134, shape=(), dtype=float64)","tf.Tensor(0.000673116507561942, shape=(), dtype=float64)"
"tf.Tensor(0.00013418507627947334, shape=(), dtype=float64)","tf.Tensor(0.000429592708559943, shape=(), dtype=float64)"
"tf.Tensor(0.00010819703095603547, shape=(), dtype=float64)","tf.Tensor(0.0009935093601101364, shape=(), dtype=float64)"
"tf.Tensor(0.00012065120112378777, shape=(), dtype=float64)","tf.Tensor(0.0009636358577524779, shape=(), dtype=float64)"
"tf.Tensor(0.00012035807719902918, shape=(), dtype=float64)","tf.Tensor(0.00043454102529273344, shape=(), dtype=float64)"
"tf.Tensor(0.00010688470993115672, shape=(), dtype=float64)","tf.Tensor(0.0008677842167549069, shape=(), dtype=float64)"
"tf.Tensor(0.00011519397684654927, shape=(), dtype=float64)","tf.Tensor(0.00034875139615402257, shape=(), dtype=float64)"
"tf.Tensor(0.00011164104257673734, shape=(), dtype=float64)","tf.Tensor(0.0002566026575221206, shape=(), dtype=float64)"
"tf.Tensor(0.00012631337468458254, shape=(), dtype=float64)","tf.Tensor(0.0004406752312557219, shape=(), dtype=float64)"
"tf.Tensor(0.0001286850589597144, shape=(), dtype=float64)","tf.Tensor(0.0002282510271913783, shape=(), dtype=float64)"
"tf.Tensor(0.00010921131429344981, shape=(), dtype=float64)","tf.Tensor(0.00031058706005834146, shape=(), dtype=float64)"
"tf.Tensor(0.0001224916144712585, shape=(), dtype=float64)","tf.Tensor(0.00045680305130029304, shape=(), dtype=float64)"
"tf.Tensor(0.00011892348996678333, shape=(), dtype=float64)","tf.Tensor(0.00039256468717663166, shape=(), dtype=float64)"
"tf.Tensor(0.0001150804270384673, shape=(), dtype=float64)","tf.Tensor(0.0002578024281527743, shape=(), dtype=float64)"
"tf.Tensor(0.00012781757814627257, shape=(), dtype=float64)","tf.Tensor(0.0004094313774392666, shape=(), dtype=float64)"
"tf.Tensor(0.0001043280573356332, shape=(), dtype=float64)","tf.Tensor(0.0007012419205510847, shape=(), dtype=float64)"
"tf.Tensor(0.00011244913395284543, shape=(), dtype=float64)","tf.Tensor(0.0003670626193386989, shape=(), dtype=float64)"
"tf.Tensor(0.00011212553213220206, shape=(), dtype=float64)","tf.Tensor(0.0003803530718366503, shape=(), dtype=float64)"
"tf.Tensor(0.00011232069556874287, shape=(), dtype=float64)","tf.Tensor(0.00018664673699736673, shape=(), dtype=float64)"
"tf.Tensor(0.0001231758050856058, shape=(), dtype=float64)","tf.Tensor(0.00011070869495474627, shape=(), dtype=float64)"
"tf.Tensor(0.00011369822943067972, shape=(), dtype=float64)","tf.Tensor(0.0006269760245105686, shape=(), dtype=float64)"
"tf.Tensor(0.00014878204386050984, shape=(), dtype=float64)","tf.Tensor(0.00017790419905361105, shape=(), dtype=float64)"
"tf.Tensor(0.0001245264552244985, shape=(), dtype=float64)","tf.Tensor(8.758769903392542e-05, shape=(), dtype=float64)"
"tf.Tensor(0.00013477122631745864, shape=(), dtype=float64)","tf.Tensor(0.00012323465741893996, shape=(), dtype=float64)"
"tf.Tensor(0.00014691917276964163, shape=(), dtype=float64)","tf.Tensor(0.0005598477777412816, shape=(), dtype=float64)"
"tf.Tensor(0.00013498480407089482, shape=(), dtype=float64)","tf.Tensor(0.00024764733163049583, shape=(), dtype=float64)"
"tf.Tensor(0.0001488273436542951, shape=(), dtype=float64)","tf.Tensor(0.00028411609738625434, shape=(), dtype=float64)"
"tf.Tensor(0.00012254029099227658, shape=(), dtype=float64)","tf.Tensor(0.00017932788487844955, shape=(), dtype=float64)"
"tf.Tensor(0.00012060102439854032, shape=(), dtype=float64)","tf.Tensor(0.00021363837967823055, shape=(), dtype=float64)"
"tf.Tensor(0.00012640467795931165, shape=(), dtype=float64)","tf.Tensor(9.02160411697732e-05, shape=(), dtype=float64)"
"tf.Tensor(0.00011367478199597803, shape=(), dtype=float64)","tf.Tensor(0.00012257642827212284, shape=(), dtype=float64)"
"tf.Tensor(0.00012756835244605628, shape=(), dtype=float64)","tf.Tensor(0.00032258252413267544, shape=(), dtype=float64)"
"tf.Tensor(0.00011953595911285946, shape=(), dtype=float64)","tf.Tensor(0.00015601373342965348, shape=(), dtype=float64)"
"tf.Tensor(0.00012287591696208096, shape=(), dtype=float64)","tf.Tensor(0.00024097102194414605, shape=(), dtype=float64)"
"tf.Tensor(0.00010329587776993945, shape=(), dtype=float64)","tf.Tensor(0.0001056170668644495, shape=(), dtype=float64)"
"tf.Tensor(0.00010535367009855734, shape=(), dtype=float64)","tf.Tensor(0.00032231715730558265, shape=(), dtype=float64)"
"tf.Tensor(0.00013953089127710758, shape=(), dtype=float64)","tf.Tensor(4.019331351976883e-05, shape=(), dtype=float64)"
"tf.Tensor(0.00013271021278705257, shape=(), dtype=float64)","tf.Tensor(8.751439391676805e-05, shape=(), dtype=float64)"
"tf.Tensor(0.00012530592004564588, shape=(), dtype=float64)","tf.Tensor(1.1772978494688542e-06, shape=(), dtype=float64)"
"tf.Tensor(0.00012401150147732745, shape=(), dtype=float64)","tf.Tensor(1.747753500275936e-05, shape=(), dtype=float64)"
"tf.Tensor(0.00011536385302610845, shape=(), dtype=float64)","tf.Tensor(2.699473511885479e-05, shape=(), dtype=float64)"
"tf.Tensor(0.00013189403159808693, shape=(), dtype=float64)","tf.Tensor(0.00012779533280653436, shape=(), dtype=float64)"
