err,val_err
"tf.Tensor(9.683562924556028e-05, shape=(), dtype=float64)","tf.Tensor(0.023414594410064757, shape=(), dtype=float64)"
"tf.Tensor(9.735140360956428e-05, shape=(), dtype=float64)","tf.Tensor(0.023547489255480836, shape=(), dtype=float64)"
"tf.Tensor(9.499587407941126e-05, shape=(), dtype=float64)","tf.Tensor(0.019919695677421523, shape=(), dtype=float64)"
"tf.Tensor(9.732146759836538e-05, shape=(), dtype=float64)","tf.Tensor(0.02214466976025524, shape=(), dtype=float64)"
"tf.Tensor(9.6834204753884e-05, shape=(), dtype=float64)","tf.Tensor(0.022151548177339886, shape=(), dtype=float64)"
"tf.Tensor(9.152953163371888e-05, shape=(), dtype=float64)","tf.Tensor(0.023155288265340742, shape=(), dtype=float64)"
"tf.Tensor(9.04735679563188e-05, shape=(), dtype=float64)","tf.Tensor(0.022301862205443126, shape=(), dtype=float64)"
"tf.Tensor(9.179493246593176e-05, shape=(), dtype=float64)","tf.Tensor(0.022083462493205395, shape=(), dtype=float64)"
"tf.Tensor(9.124286170580981e-05, shape=(), dtype=float64)","tf.Tensor(0.022106981890792417, shape=(), dtype=float64)"
"tf.Tensor(9.061166603392509e-05, shape=(), dtype=float64)","tf.Tensor(0.021765011799489073, shape=(), dtype=float64)"
"tf.Tensor(8.918846254800841e-05, shape=(), dtype=float64)","tf.Tensor(0.021798850657473636, shape=(), dtype=float64)"
"tf.Tensor(9.036808034001188e-05, shape=(), dtype=float64)","tf.Tensor(0.025625283979192767, shape=(), dtype=float64)"
"tf.Tensor(9.028128105363394e-05, shape=(), dtype=float64)","tf.Tensor(0.024071683342781727, shape=(), dtype=float64)"
"tf.Tensor(9.106070079180238e-05, shape=(), dtype=float64)","tf.Tensor(0.020871849334798475, shape=(), dtype=float64)"
"tf.Tensor(9.002018836309524e-05, shape=(), dtype=float64)","tf.Tensor(0.022031370767641886, shape=(), dtype=float64)"
"tf.Tensor(9.051478815301519e-05, shape=(), dtype=float64)","tf.Tensor(0.02552577008537325, shape=(), dtype=float64)"
"tf.Tensor(9.175858575992979e-05, shape=(), dtype=float64)","tf.Tensor(0.024425937422972468, shape=(), dtype=float64)"
