err,val_err
"tf.Tensor(4.9295132273849515e-05, shape=(), dtype=float64)","tf.Tensor(0.0002815048507916306, shape=(), dtype=float64)"
"tf.Tensor(5.5993987955132604e-05, shape=(), dtype=float64)","tf.Tensor(0.00046587401025817, shape=(), dtype=float64)"
"tf.Tensor(4.993878209323076e-05, shape=(), dtype=float64)","tf.Tensor(0.0004625610315970753, shape=(), dtype=float64)"
"tf.Tensor(4.7425918132516745e-05, shape=(), dtype=float64)","tf.Tensor(0.0002815048507916306, shape=(), dtype=float64)"
"tf.Tensor(5.3642411273423594e-05, shape=(), dtype=float64)","tf.Tensor(0.0006394410108870465, shape=(), dtype=float64)"
"tf.Tensor(5.038850552416266e-05, shape=(), dtype=float64)","tf.Tensor(0.004846466037350707, shape=(), dtype=float64)"
"tf.Tensor(5.348851340503859e-05, shape=(), dtype=float64)","tf.Tensor(0.004188216834476341, shape=(), dtype=float64)"
"tf.Tensor(5.473634636159988e-05, shape=(), dtype=float64)","tf.Tensor(0.004275200511276266, shape=(), dtype=float64)"
"tf.Tensor(4.820544553951859e-05, shape=(), dtype=float64)","tf.Tensor(0.004983406303617522, shape=(), dtype=float64)"
"tf.Tensor(5.2427753456590994e-05, shape=(), dtype=float64)","tf.Tensor(0.003388111289190326, shape=(), dtype=float64)"
"tf.Tensor(4.888554468049513e-05, shape=(), dtype=float64)","tf.Tensor(0.0035043481195821324, shape=(), dtype=float64)"
"tf.Tensor(5.7526326371400186e-05, shape=(), dtype=float64)","tf.Tensor(0.003681180794311823, shape=(), dtype=float64)"
"tf.Tensor(5.0943123036673335e-05, shape=(), dtype=float64)","tf.Tensor(0.004209693024300805, shape=(), dtype=float64)"
"tf.Tensor(4.954927772977601e-05, shape=(), dtype=float64)","tf.Tensor(0.004423166386077131, shape=(), dtype=float64)"
"tf.Tensor(4.8370074821335365e-05, shape=(), dtype=float64)","tf.Tensor(0.0034699975010689687, shape=(), dtype=float64)"
"tf.Tensor(5.044918851593018e-05, shape=(), dtype=float64)","tf.Tensor(0.00395683838219354, shape=(), dtype=float64)"
"tf.Tensor(5.0628142995331807e-05, shape=(), dtype=float64)","tf.Tensor(0.004076008690613533, shape=(), dtype=float64)"
"tf.Tensor(4.6331686204804825e-05, shape=(), dtype=float64)","tf.Tensor(0.0037191859391140316, shape=(), dtype=float64)"
"tf.Tensor(5.1621228296151934e-05, shape=(), dtype=float64)","tf.Tensor(0.003933476793475688, shape=(), dtype=float64)"
"tf.Tensor(5.52978684106142e-05, shape=(), dtype=float64)","tf.Tensor(0.0037919269571569376, shape=(), dtype=float64)"
"tf.Tensor(5.065662461882742e-05, shape=(), dtype=float64)","tf.Tensor(0.003079395775418018, shape=(), dtype=float64)"
"tf.Tensor(4.640715943491984e-05, shape=(), dtype=float64)","tf.Tensor(0.005510418060448445, shape=(), dtype=float64)"
"tf.Tensor(5.293482311850573e-05, shape=(), dtype=float64)","tf.Tensor(0.004314650648512203, shape=(), dtype=float64)"
"tf.Tensor(4.8638024353489126e-05, shape=(), dtype=float64)","tf.Tensor(0.003483837478651619, shape=(), dtype=float64)"
"tf.Tensor(5.117889151786489e-05, shape=(), dtype=float64)","tf.Tensor(0.004240522773279904, shape=(), dtype=float64)"
"tf.Tensor(5.659819012591389e-05, shape=(), dtype=float64)","tf.Tensor(0.0034082055667024377, shape=(), dtype=float64)"
"tf.Tensor(4.5498792668673806e-05, shape=(), dtype=float64)","tf.Tensor(0.004243490125401593, shape=(), dtype=float64)"
"tf.Tensor(4.901514541334808e-05, shape=(), dtype=float64)","tf.Tensor(0.003371785969140661, shape=(), dtype=float64)"
"tf.Tensor(5.1279440815177744e-05, shape=(), dtype=float64)","tf.Tensor(0.00028150485079163026, shape=(), dtype=float64)"
"tf.Tensor(4.631484518296332e-05, shape=(), dtype=float64)","tf.Tensor(0.0002815048507916295, shape=(), dtype=float64)"
"tf.Tensor(4.985339694839112e-05, shape=(), dtype=float64)","tf.Tensor(0.00028150485079162977, shape=(), dtype=float64)"
"tf.Tensor(4.658208503437222e-05, shape=(), dtype=float64)","tf.Tensor(0.00028150485079163026, shape=(), dtype=float64)"
"tf.Tensor(5.275420149500983e-05, shape=(), dtype=float64)","tf.Tensor(0.00028150485079163026, shape=(), dtype=float64)"
"tf.Tensor(4.8810343275661066e-05, shape=(), dtype=float64)","tf.Tensor(0.00028150485079163026, shape=(), dtype=float64)"
"tf.Tensor(5.345350171002082e-05, shape=(), dtype=float64)","tf.Tensor(0.0002815048507916292, shape=(), dtype=float64)"
"tf.Tensor(5.213430948746842e-05, shape=(), dtype=float64)","tf.Tensor(0.0002815048507916308, shape=(), dtype=float64)"
"tf.Tensor(5.649961350568357e-05, shape=(), dtype=float64)","tf.Tensor(0.00028150485079162977, shape=(), dtype=float64)"
"tf.Tensor(5.375958905927035e-05, shape=(), dtype=float64)","tf.Tensor(0.00028150485079162977, shape=(), dtype=float64)"
"tf.Tensor(5.1655392297480876e-05, shape=(), dtype=float64)","tf.Tensor(0.0002815048507916295, shape=(), dtype=float64)"
"tf.Tensor(5.621348939187641e-05, shape=(), dtype=float64)","tf.Tensor(0.00028150485079163026, shape=(), dtype=float64)"
"tf.Tensor(5.1363704923057646e-05, shape=(), dtype=float64)","tf.Tensor(0.0002815048507916295, shape=(), dtype=float64)"
"tf.Tensor(4.7847771615638014e-05, shape=(), dtype=float64)","tf.Tensor(0.00028150485079162977, shape=(), dtype=float64)"
"tf.Tensor(4.8239616647494647e-05, shape=(), dtype=float64)","tf.Tensor(0.0002815048507916295, shape=(), dtype=float64)"
"tf.Tensor(4.7379986011938305e-05, shape=(), dtype=float64)","tf.Tensor(0.0002815048507916295, shape=(), dtype=float64)"
"tf.Tensor(4.656253022758898e-05, shape=(), dtype=float64)","tf.Tensor(0.00028150485079163026, shape=(), dtype=float64)"
