err,val_err
"tf.Tensor(0.0001079381084973977, shape=(), dtype=float64)","tf.Tensor(0.0008346243764444323, shape=(), dtype=float64)"
"tf.Tensor(0.00011297915806878133, shape=(), dtype=float64)","tf.Tensor(0.0007689005195447246, shape=(), dtype=float64)"
"tf.Tensor(0.00011033498100671257, shape=(), dtype=float64)","tf.Tensor(0.0006726884887283763, shape=(), dtype=float64)"
"tf.Tensor(0.00010563991719164309, shape=(), dtype=float64)","tf.Tensor(0.0007479226324607416, shape=(), dtype=float64)"
"tf.Tensor(0.00010388105329198677, shape=(), dtype=float64)","tf.Tensor(0.0007267572060174335, shape=(), dtype=float64)"
"tf.Tensor(0.00010732136675702403, shape=(), dtype=float64)","tf.Tensor(0.0007093819565526739, shape=(), dtype=float64)"
"tf.Tensor(0.00011967123721949664, shape=(), dtype=float64)","tf.Tensor(0.0007682645454425116, shape=(), dtype=float64)"
"tf.Tensor(0.0001144669745483201, shape=(), dtype=float64)","tf.Tensor(0.001232501657712562, shape=(), dtype=float64)"
"tf.Tensor(9.969885494177668e-05, shape=(), dtype=float64)","tf.Tensor(0.0013952135393529065, shape=(), dtype=float64)"
"tf.Tensor(0.00011362143689772002, shape=(), dtype=float64)","tf.Tensor(0.0007432305213342048, shape=(), dtype=float64)"
"tf.Tensor(0.00010608384815299114, shape=(), dtype=float64)","tf.Tensor(0.0007394276667953348, shape=(), dtype=float64)"
"tf.Tensor(0.0001124990747789646, shape=(), dtype=float64)","tf.Tensor(0.0006945584061592581, shape=(), dtype=float64)"
"tf.Tensor(0.00010809688382201897, shape=(), dtype=float64)","tf.Tensor(0.0008284661998181644, shape=(), dtype=float64)"
"tf.Tensor(0.00010649727961603579, shape=(), dtype=float64)","tf.Tensor(0.0009938312386197866, shape=(), dtype=float64)"
"tf.Tensor(0.00010986559035952038, shape=(), dtype=float64)","tf.Tensor(0.0008504529601439585, shape=(), dtype=float64)"
"tf.Tensor(0.00011657619900395806, shape=(), dtype=float64)","tf.Tensor(0.0009686852098914534, shape=(), dtype=float64)"
"tf.Tensor(0.00012063071025810567, shape=(), dtype=float64)","tf.Tensor(0.0007442431940490125, shape=(), dtype=float64)"
"tf.Tensor(0.00011315827615043114, shape=(), dtype=float64)","tf.Tensor(0.0007617003192386596, shape=(), dtype=float64)"
"tf.Tensor(0.00011880844907119687, shape=(), dtype=float64)","tf.Tensor(0.0008657808083540966, shape=(), dtype=float64)"
"tf.Tensor(0.00011767321081865151, shape=(), dtype=float64)","tf.Tensor(0.0007243349171647325, shape=(), dtype=float64)"
"tf.Tensor(0.00011428443360741791, shape=(), dtype=float64)","tf.Tensor(0.000836659152758704, shape=(), dtype=float64)"
"tf.Tensor(0.00011383914142391898, shape=(), dtype=float64)","tf.Tensor(0.0008260140284870764, shape=(), dtype=float64)"
"tf.Tensor(0.0001163774894500336, shape=(), dtype=float64)","tf.Tensor(0.0009168346994359345, shape=(), dtype=float64)"
"tf.Tensor(0.00011514374926511541, shape=(), dtype=float64)","tf.Tensor(0.0009587662440591302, shape=(), dtype=float64)"
"tf.Tensor(0.00011612267671001047, shape=(), dtype=float64)","tf.Tensor(0.0008207168406587305, shape=(), dtype=float64)"
"tf.Tensor(0.00012294774938498165, shape=(), dtype=float64)","tf.Tensor(0.0008433180867106337, shape=(), dtype=float64)"
"tf.Tensor(0.00011689193936468673, shape=(), dtype=float64)","tf.Tensor(0.0011697896478069971, shape=(), dtype=float64)"
"tf.Tensor(0.00011334132490599418, shape=(), dtype=float64)","tf.Tensor(0.000941703958214309, shape=(), dtype=float64)"
"tf.Tensor(0.00012132248450992288, shape=(), dtype=float64)","tf.Tensor(0.0008625742137657322, shape=(), dtype=float64)"
"tf.Tensor(0.00011415841815211116, shape=(), dtype=float64)","tf.Tensor(0.000960361957407305, shape=(), dtype=float64)"
"tf.Tensor(0.00011760935073433335, shape=(), dtype=float64)","tf.Tensor(0.0008197684296860542, shape=(), dtype=float64)"
"tf.Tensor(0.00010586775984584317, shape=(), dtype=float64)","tf.Tensor(0.0008599767057290911, shape=(), dtype=float64)"
"tf.Tensor(0.00010935898221810155, shape=(), dtype=float64)","tf.Tensor(0.0008485523319622038, shape=(), dtype=float64)"
"tf.Tensor(0.00011327617723053173, shape=(), dtype=float64)","tf.Tensor(0.0008304993969392675, shape=(), dtype=float64)"
"tf.Tensor(0.00011586549934563953, shape=(), dtype=float64)","tf.Tensor(0.0011109921036181949, shape=(), dtype=float64)"
"tf.Tensor(0.00010837167091810892, shape=(), dtype=float64)","tf.Tensor(0.000919338107070381, shape=(), dtype=float64)"
"tf.Tensor(0.00011990540631674564, shape=(), dtype=float64)","tf.Tensor(0.0008301441134488667, shape=(), dtype=float64)"
"tf.Tensor(0.0001227163338705744, shape=(), dtype=float64)","tf.Tensor(0.0008802493600568653, shape=(), dtype=float64)"
"tf.Tensor(0.00011628791117592077, shape=(), dtype=float64)","tf.Tensor(0.0008802216670077206, shape=(), dtype=float64)"
"tf.Tensor(0.00011641625488484907, shape=(), dtype=float64)","tf.Tensor(0.0007817555399285435, shape=(), dtype=float64)"
"tf.Tensor(0.00011948391443667598, shape=(), dtype=float64)","tf.Tensor(0.0007540870140863915, shape=(), dtype=float64)"
"tf.Tensor(0.00011309031076993552, shape=(), dtype=float64)","tf.Tensor(0.0008084308878243904, shape=(), dtype=float64)"
"tf.Tensor(0.00011764717077857167, shape=(), dtype=float64)","tf.Tensor(0.0007739297292534113, shape=(), dtype=float64)"
"tf.Tensor(0.00011097448230225697, shape=(), dtype=float64)","tf.Tensor(0.0008774494902586746, shape=(), dtype=float64)"
"tf.Tensor(0.00011619839309247368, shape=(), dtype=float64)","tf.Tensor(0.000771257322029086, shape=(), dtype=float64)"
"tf.Tensor(0.000125025280862894, shape=(), dtype=float64)","tf.Tensor(0.0008849341955645962, shape=(), dtype=float64)"
"tf.Tensor(0.0001125807783786722, shape=(), dtype=float64)","tf.Tensor(0.0007883318606145773, shape=(), dtype=float64)"
"tf.Tensor(0.00012182560482621547, shape=(), dtype=float64)","tf.Tensor(0.0007778736094357599, shape=(), dtype=float64)"
"tf.Tensor(0.00012671551955844678, shape=(), dtype=float64)","tf.Tensor(0.0008368720264843989, shape=(), dtype=float64)"
"tf.Tensor(0.00011715492731455823, shape=(), dtype=float64)","tf.Tensor(0.0007463719766141812, shape=(), dtype=float64)"
"tf.Tensor(0.0001264674888787952, shape=(), dtype=float64)","tf.Tensor(0.0010032899763475032, shape=(), dtype=float64)"
"tf.Tensor(0.00011650564116331666, shape=(), dtype=float64)","tf.Tensor(0.0007988156164497976, shape=(), dtype=float64)"
