"Great value, fast shipping, perfect buy.",2019年10月3日 在美国审核
From reading other reviews I was a bit hesitant,2019年10月3日 在美国审核
"Bottom line, phone looks new, works great",2019年10月3日 在美国审核
Stolen goods!,2019年7月5日 在美国审核
Phone is great,2019年7月5日 在美国审核
I brought it to the Sprint store and they verify that they could not have it because it was assigned to another network,2019年7月5日 在美国审核
Brick that takes lovely pictures,2019年11月19日 在美国审核
I really wanted to be among the lucky ones who didn't have a problem with their phones but unfortunately that wasn't in the cards for me,2019年11月19日 在美国审核
An hour on the phone with T-Mobile customer service followed by 3 or 4 visits to the store failed to resolve it,2019年11月19日 在美国审核
"I have returned it and will consider replacing it with another S10+, and shall update my review at that time",2019年11月19日 在美国审核
"My advice, STAY AWAY FROM 2019BESTSALE!!! He takes orders that he is either unwilling or unable to fulfill",2019年11月19日 在美国审核
Initially blacklisted IEMEI and now not working well,2019年7月21日 在美国审核
It is a replacement as the first one was IMEI BLACKLIST,2019年7月21日 在美国审核
The new one has some serious issues,2019年7月21日 在美国审核
The touchscreen is not sensitive and in some areas not responsive as well,2019年7月21日 在美国审核
Unfortunately this was the worst purchase I made from amazon,2019年7月21日 在美国审核
Thanks to Amazon guarantee I will return it,2019年7月21日 在美国审核
Enough pain,2019年7月21日 在美国审核
"Friendship ended with Apple, now Samsung is my best friend.",2019年10月1日 在美国审核
I was an Apple user for since the iphone 5 and like most Apple users was heavily invested in their ecosystem,2019年10月1日 在美国审核
I ended up not being able to use my iphone and did not want to settle for a cheaper iphone due to financial constraints,2019年10月1日 在美国审核
Due to this I ended up looking elsewhere and really liked the idea that I could get a like new S10+ for half the cost of new so I took the plunge and I'm glad I did,2019年10月1日 在美国审核
I never was a big fan of android but Samsung's One UI is very user friendly and has almost 0 bugs compared to most Android offerings,2019年10月1日 在美国审核
"The OLED displays that Samsung produces are next level, even when compared directly to the new iphone 11 Pro",2019年10月1日 在美国审核
It's so crisp and vibrant!Battery life is phenomenal as well,2019年10月1日 在美国审核
"The company I went through, used-gadget, sent me a pristine S10+ that looked as though it had never even been used",2019年10月1日 在美国审核
Will certainly be sticking with Samsung for the near future and will also be buying refurbished from Amazon again,2019年10月1日 在美国审核
Misleading guarantee,2019年10月10日 在美国审核
Amazon Renewed does not honor the guarantee to send a replacement,2019年10月10日 在美国审核
Expect what to get from the description - not from other reviews,2019年10月31日 在美国审核
I made the mistake of reading reviews (ironically posting my own now) before purchasing,2019年10月31日 在美国审核
"I saw lots of photos of what people received and was very optimistic that the description was not correct (no earbuds, factory box, factory cables/chargers)",2019年10月31日 在美国审核
I WAS WRONG,2019年10月31日 在美国审核
"If you're reading this review, know that the device is more than likely going to work and be very clear of scratches",2019年10月31日 在美国审核
