40,-14.05344924673231,-20.162596861524744,-25.965819639394947,-31.559666495565533,-37.07576520336014,-43.215937673536146,-48.32371300683467,-54.79562772497107,-59.598597600418834,-66.54503851007934,-71.31399076716194,-75.33452191918423,-80.89655776373776,-86.26165866643558,-91.27297525303139,-95.2680968105659,-99.34585456626164,-103.42653293717301,-106.8338263346451,-110.62202784204524,-117.90541118326888,-120.87667544655247,-125.01672521438303,-129.78181238878716,-133.31396002315898,-137.2914994634816,-140.89460430591976,-143.81748382298042,-145.89676956512477
80,-15.187878460795737,-22.27240930000053,-29.299930924574188,-36.27494587575454,-42.947656142694974,-48.976142689655,-55.494220274575554,-61.68116073737628,-67.92031737267186,-72.78944507485042,-76.80750356828679,-81.91527890158534,-89.1126266984997,-93.22313548245943,-98.15340744740017,-102.27144119563944,-105.80667092596907,-110.78626797401449,-115.91881638202736,-120.25830018176292,-124.18303633428455,-128.41037325939726,-130.9187077264807,-134.79965691678245,-139.28307468946383,-142.78887681409014,-146.59351887449668,-150.53791845935007,-154.92273449316042
120,-15.187878460795737,-22.34589563787869,-29.43042647708349,-36.13418014352442,-42.58661101538875,-48.958039300224456,-55.28628497214955,-61.60163482092146,-67.91416916172312,-73.70621121919758,-79.21133156484204,-84.48676466046417,-89.57738536473563,-94.58106105679383,-99.3477825891447,-103.832780739808,-108.01925252470353,-113.12661209857487,-117.92909452881652,-122.88186024553512,-128.14406820355032,-133.85627381421813,-138.01704088575673,-141.5326831010052,-145.24814346310262,-150.4308143915157,-154.9141908409622,-158.68040998580148,-163.17860432192248
160,-15.187878460795737,-22.38522625771011,-29.41619082443912,-36.443712449012786,-43.444917423007084,-50.096213414814166,-56.651134613685755,-63.19662670629948,-69.52487237822456,-75.82228725174254,-81.64948001567365,-87.81411526423659,-93.09550226271027,-98.3737735438024,-103.47028461747621,-108.52088272198631,-112.94490285739413,-117.32728119546749,-121.69367927462304,-126.05901145496449,-130.21977852650312,-134.30306566004919,-138.20138803391984,-143.72002096391898,-147.43548132601643,-151.34340562042837,-155.93767353132057,-162.3835189326018,-166.91889935072504
200,-15.658728293927972,-23.028457567785793,-30.225805364700157,-37.38382254178312,-44.414787108512144,-51.415992082506435,-58.3624329921669,-65.22058387970905,-71.94720452307607,-78.50212572194768,-84.7995405954657,-90.52955516110842,-96.57391833354056,-102.84663148973027,-108.40248089164241,-113.9725664924518,-119.42933024270752,-124.71071724118119,-129.80722831485502,-134.89318585245624,-139.51333630073262,-143.87453457834164,-148.04384859919924,-152.38553818635938,-156.29194506026528,-160.07220645265446,-163.78766681475182,-167.33897514376488,-170.8698173891964
240,-15.658728293927972,-23.35668600265162,-30.864845673905535,-38.23457494776337,-45.54242470871845,-52.70044188580142,-59.68533398082128,-66.25059445320227,-72.74994284126741,-79.11681433694557,-85.25654594266418,-91.20105738842976,-97.44770541524417,-103.27489817917521,-109.01975301569266,-114.53830337018834,-120.05167311692095,-125.43400901264665,-130.620470598219,-135.72824593151748,-140.69961907747128,-145.58266879622235,-150.39687993648832,-155.17632725186846,-159.82600289520352,-163.52395543883753,-167.41296946917456,-171.1338897429885,-174.78067008417636
280,-15.538536815713712,-23.04669648696762,-30.533352323284802,-37.903081597142645,-45.21093135809771,-52.316653378266,-59.41022894934402,-66.0587802845326,-72.68245370714166,-79.24771417952266,-85.61458567520079,-91.8530843514361,-97.99281595715473,-104.10526771767685,-109.74556901994838,-115.27342412431044,-120.50654678253922,-125.71118411170524,-130.90117515703093,-135.89991750027488,-140.81537023124332,-145.67360500976238,-150.4860722610101,-155.26596892501658,-160.03451972383175,-164.792171579481,-169.25438337932633,-173.63773752252888,-177.884886574735
320,-15.658728293927972,-23.35668600265162,-30.899039254076268,-38.4071989253302,-45.89385476164738,-53.2635840355052,-60.57143379646026,-67.67715581662856,-74.5353067041707,-81.18385803935925,-87.63521639669253,-93.92401425400271,-100.29088574968087,-106.43061735539948,-112.5430691159216,-118.18337041819309,-124.27975743594554,-129.63640987218074,-134.82640091750648,-139.90460947596733,-144.88480146571908,-149.59062347204838,-154.44563501073605,-159.16394575534136,-163.8547138190981,-168.37144984377161,-172.9814220642507,-177.43355903464004,-181.72354893283153
360,-15.658728293927972,-23.35668600265162,-30.899039254076268,-38.4071989253302,-45.89385476164738,-53.2635840355052,-60.57143379646026,-67.67715581662856,-74.32570715181714,-80.88062835068871,-87.36035150855426,-93.81170986588752,-100.17858136156568,-106.47055228010396,-112.61028388582262,-118.72273564634473,-124.5748826092847,-130.3372578182235,-135.74544044063845,-141.02865511382365,-146.28597139585113,-151.47596244117682,-156.46813752202166,-161.47389698975053,-166.39076912025007,-170.98559903062647,-176.1935244819903,-180.88954375342414,-185.54887526425642
400,-15.658728293927972,-23.35668600265162,-30.899039254076268,-38.4071989253302,-45.89385476164738,-53.2635840355052,-60.46093183241956,-67.56665385258785,-74.21520518777642,-80.77012638664799,-87.26398887419673,-93.71534723153002,-100.04814221541825,-106.18787382113689,-112.10124209485426,-117.95338905779423,-123.71576426673306,-129.4743456359402,-134.88252825835517,-140.24249736702131,-145.5843491097859,-150.70632809023348,-155.77250261069412,-161.8256503166698,-166.85599665383205,-171.7206680027631,-176.5392197884457,-181.0738714555743,-185.5764474669724
