err,val_err
"tf.Tensor(0.0014427104612584043, shape=(), dtype=float64)","tf.Tensor(0.0013050786596392767, shape=(), dtype=float64)"
"tf.Tensor(0.0014392638845203956, shape=(), dtype=float64)","tf.Tensor(0.0015529739436415519, shape=(), dtype=float64)"
"tf.Tensor(0.0014392688543550885, shape=(), dtype=float64)","tf.Tensor(0.002293052558010805, shape=(), dtype=float64)"
"tf.Tensor(0.001439308620812299, shape=(), dtype=float64)","tf.Tensor(0.002374333802265397, shape=(), dtype=float64)"
"tf.Tensor(0.001440505646733578, shape=(), dtype=float64)","tf.Tensor(0.002272854610630694, shape=(), dtype=float64)"
"tf.Tensor(0.0014415385820275516, shape=(), dtype=float64)","tf.Tensor(0.002357652552996491, shape=(), dtype=float64)"
"tf.Tensor(0.0014373190026909929, shape=(), dtype=float64)","tf.Tensor(0.001553750112047787, shape=(), dtype=float64)"
"tf.Tensor(0.0014400881621886726, shape=(), dtype=float64)","tf.Tensor(0.002430880111946542, shape=(), dtype=float64)"
"tf.Tensor(0.0014382551885877481, shape=(), dtype=float64)","tf.Tensor(0.0021498517751729652, shape=(), dtype=float64)"
"tf.Tensor(0.0014396127126685458, shape=(), dtype=float64)","tf.Tensor(0.0032991405839738162, shape=(), dtype=float64)"
"tf.Tensor(0.0014378488821211973, shape=(), dtype=float64)","tf.Tensor(0.0024437228008510094, shape=(), dtype=float64)"
"tf.Tensor(0.0011828560786033126, shape=(), dtype=float64)","tf.Tensor(0.0026716874154176997, shape=(), dtype=float64)"
"tf.Tensor(0.0011806869363281283, shape=(), dtype=float64)","tf.Tensor(0.0031178172935615095, shape=(), dtype=float64)"
"tf.Tensor(0.001179187017538278, shape=(), dtype=float64)","tf.Tensor(0.0028844309388229056, shape=(), dtype=float64)"
"tf.Tensor(0.0011810158482978494, shape=(), dtype=float64)","tf.Tensor(0.003430389947146355, shape=(), dtype=float64)"
"tf.Tensor(0.0011803880637546995, shape=(), dtype=float64)","tf.Tensor(0.002917216756771705, shape=(), dtype=float64)"
"tf.Tensor(0.0011804342398797718, shape=(), dtype=float64)","tf.Tensor(0.0033924153715451343, shape=(), dtype=float64)"
"tf.Tensor(0.0011822622655782802, shape=(), dtype=float64)","tf.Tensor(0.002997682729148005, shape=(), dtype=float64)"
"tf.Tensor(0.0011811338293748906, shape=(), dtype=float64)","tf.Tensor(0.003412841093338424, shape=(), dtype=float64)"
"tf.Tensor(0.001182727944464818, shape=(), dtype=float64)","tf.Tensor(0.002409616114307963, shape=(), dtype=float64)"
"tf.Tensor(0.0011819973277604726, shape=(), dtype=float64)","tf.Tensor(0.0030839082978863703, shape=(), dtype=float64)"
"tf.Tensor(0.0011813884439326719, shape=(), dtype=float64)","tf.Tensor(0.002431246205247607, shape=(), dtype=float64)"
"tf.Tensor(0.0011823577736485436, shape=(), dtype=float64)","tf.Tensor(0.0031480237849234893, shape=(), dtype=float64)"
"tf.Tensor(0.001181688275806167, shape=(), dtype=float64)","tf.Tensor(0.0027168681440136785, shape=(), dtype=float64)"
"tf.Tensor(0.0011821599016354966, shape=(), dtype=float64)","tf.Tensor(0.0028734120860062383, shape=(), dtype=float64)"
"tf.Tensor(0.001179699442021086, shape=(), dtype=float64)","tf.Tensor(0.0030508960333575524, shape=(), dtype=float64)"
"tf.Tensor(0.001180578426135014, shape=(), dtype=float64)","tf.Tensor(0.0026342354406581124, shape=(), dtype=float64)"
"tf.Tensor(0.0011821879667869345, shape=(), dtype=float64)","tf.Tensor(0.0028135675703410607, shape=(), dtype=float64)"
"tf.Tensor(0.00118300821033898, shape=(), dtype=float64)","tf.Tensor(0.0024798362017205327, shape=(), dtype=float64)"
"tf.Tensor(0.0011822619535936853, shape=(), dtype=float64)","tf.Tensor(0.002995929901407719, shape=(), dtype=float64)"
"tf.Tensor(0.0011804384771842244, shape=(), dtype=float64)","tf.Tensor(0.0033627981904161275, shape=(), dtype=float64)"
"tf.Tensor(0.0011830490671219677, shape=(), dtype=float64)","tf.Tensor(0.003207519043949448, shape=(), dtype=float64)"
"tf.Tensor(0.0011815876509319063, shape=(), dtype=float64)","tf.Tensor(0.0027609438851194604, shape=(), dtype=float64)"
"tf.Tensor(0.0011827859595671503, shape=(), dtype=float64)","tf.Tensor(0.0029248139110798696, shape=(), dtype=float64)"
"tf.Tensor(0.0011812350481236458, shape=(), dtype=float64)","tf.Tensor(0.0029200085185092394, shape=(), dtype=float64)"
"tf.Tensor(0.001184127598987078, shape=(), dtype=float64)","tf.Tensor(0.0029472578281473424, shape=(), dtype=float64)"
"tf.Tensor(0.0011814017076623006, shape=(), dtype=float64)","tf.Tensor(0.0032020498399067845, shape=(), dtype=float64)"
"tf.Tensor(0.0011815727564163658, shape=(), dtype=float64)","tf.Tensor(0.0029318884224007725, shape=(), dtype=float64)"
"tf.Tensor(0.0011792912669142206, shape=(), dtype=float64)","tf.Tensor(0.0030542457702345863, shape=(), dtype=float64)"
"tf.Tensor(0.001183305675849355, shape=(), dtype=float64)","tf.Tensor(0.003147833932454045, shape=(), dtype=float64)"
"tf.Tensor(0.0011854384463724445, shape=(), dtype=float64)","tf.Tensor(0.0027411847782709167, shape=(), dtype=float64)"
"tf.Tensor(0.0011807281565251859, shape=(), dtype=float64)","tf.Tensor(0.00233186552373043, shape=(), dtype=float64)"
"tf.Tensor(0.0011803438451919216, shape=(), dtype=float64)","tf.Tensor(0.0024121665377668054, shape=(), dtype=float64)"
"tf.Tensor(0.0011830510944173195, shape=(), dtype=float64)","tf.Tensor(0.002832486659924476, shape=(), dtype=float64)"
"tf.Tensor(0.0011829810301598063, shape=(), dtype=float64)","tf.Tensor(0.0025226852336886645, shape=(), dtype=float64)"
"tf.Tensor(0.0011803896465181884, shape=(), dtype=float64)","tf.Tensor(0.0028710942367765014, shape=(), dtype=float64)"
"tf.Tensor(0.0011818681016765827, shape=(), dtype=float64)","tf.Tensor(0.0032163168505573844, shape=(), dtype=float64)"
"tf.Tensor(0.0011836597546758584, shape=(), dtype=float64)","tf.Tensor(0.0035056468540776626, shape=(), dtype=float64)"
"tf.Tensor(0.001180491197144443, shape=(), dtype=float64)","tf.Tensor(0.0026499846111532927, shape=(), dtype=float64)"
"tf.Tensor(0.0011786944957739908, shape=(), dtype=float64)","tf.Tensor(0.0030449006447607688, shape=(), dtype=float64)"
"tf.Tensor(0.001185023177300738, shape=(), dtype=float64)","tf.Tensor(0.002766053137945152, shape=(), dtype=float64)"
